abbatialis, abbatialis
abdominalis, abdominalis
abnormalis, abnormalis
abnormis, abnormis
abominabilis, abominabilis
absens, absentis
absimilis, absimilis
abstinax, abstinacis
abstinens, abstinentis
abundans, abundantis
accensibilis, accensibilis
acceptabilis, acceptabilis
accessibilis, accessibilis
accidentalis, accidentalis
acclinis, acclinis
acclivis, acclivis
accusabilis, accusabilis
acer, acris
acervalis, acervalis
acharis, acharis
actualis, actualis
acutalis, acutalis
adapertilis, adapertilis
adcessibilis, adcessibilis
adclinis, adclinis
adclivis, adclivis
adfabilis, adfabilis
adfectualis, adfectualis
adfinis, adfinis
adflagrans, adflagrantis
adflictrix, adflictricis
adfluens, adfluentis
adibilis, adibilis
aditialis, aditialis
adjacens, adjacentis
adjutabilis, adjutabilis
adjuvans, adjuvantis
adlaudabilis, adlaudabilis
admirabilis, admirabilis
adnuntialis, adnuntialis
adolescens, adolescentis
adorabilis, adorabilis
adpalis, adpalis
adparens, adparentis
adpetens, adpetentis
adpetibilis, adpetibilis
adplex, adplicis
adprehensibil, adprehensibilis
adralis, adralis
adrogans, adrogantis
adrotans, adrotantis
adscendens, adscendentis
adscendibilis, adscendibilis
adsimilis, adsimilis
adspectabilis, adspectabilis
adulans, adulantis
adulescens, adulescentis
adverbialis, adverbialis
adversabilis, adversabilis
advolitans, advolitantis
advorsabilis, advorsabilis
aedificialis, aedificialis
aeditualis, aeditualis
aenipes, aenipedis
aequabilis, aequabilis
aequalis, aequalis
aequanimis, aequanimis
aequidistans, aequidistantis
aequiformis, aequiformis
aequilanx, aequilancis
aequilateralis, aequilateralis
aequilatus, aequilateris
aequilibris, aequilibris
aequinoctialis, aequinoctialis
aequipar, aequiparis
aequiparabilis, aequiparabilis
aequiperabilis, aequiperabilis
aequipes, aequipedis
aequipollens, aequipollentis
aericrepitans, aericrepitantis
aeripes, aeripedis
aerumnabilis, aerumnabilis
aestimabilis, aestimabilis
aestivalis, aestivalis
aeternabilis, aeternabilis
aeternalis, aeternalis
Aethiops, Aethiopis
aethon, aethonis
affabilis, affabilis
affectualis, affectualis
affinis, affinis
afflictrix, afflictricis
affluens, affluentis
afluens, afluentis
agens, agentis
agilis, agilis
agitabilis, agitabilis
agminalis, agminalis
agnitionalis, agnitionalis
agnoscibilis, agnoscibilis
agralis, agralis
agrestis, agrestis
agricolaris, agricolaris
ahenipes, ahenipedis
aiens, aientis
aigilps, aigilpis
alacer, alacris
alacris, alacris
alaris, alaris
albaris, albaris
albens, albentis
albiceris, albiceris
albicolor, albicoloris
alcyonis, alcyonidis
alearis, alearis
alebris, alebris
ales, alitis
algens, algentis
algensis, algensis
alibilis, alibilis
alipes, alipedis
alisalius, alisalienus
alius, alienus
allaudabilis, allaudabilis
alter, alterius
altercabilis, altercabilis
alterplex, alterplicis
alteruter, alterutrius
altifrons, altifrontis
altilis, altilis
altipotens, altipotentis
altitonans, altitonantis
altivolans, altivolantis
amabilis, amabilis
amans, amantis
amatrix, amatricis
ambarvalis, ambarvalis
ambrosialis, ambrosialis
ambulatilis, ambulatilis
ambulatrix, ambulatricis
amens, amentis
amethystizon, amethystizontis
amethystizon, amethystizontos
ametor, ametoris
amicabilis, amicabilis
amicalis, amicalis
amissibilis, amissibilis
Ammanitis, Ammanitidis
ammirabilis, ammirabilis
amotibilis, amotibilis
amovibilis, amovibilis
amphitheatralis, amphitheatralis
amphoralis, amphoralis
anceps, ancipitis
ancillaris, ancillaris
ancips, acipitis
anclabris, anclabris
ancoralis, ancoralis
angarialis, angarialis
anguipes, anguipedis
anguitenens, anguitenentis
angularis, angularis
anicularis, anicularis
anilis, anilis
animabilis, animabilis
animalis, animalis
animans, animantis
animax, animacis
annualis, annualis
annularis, annularis
annumerabilis, annumerabilis
annuntialis, annuntialis
antecedens, antecedentis
antegenitalis, antegenitalis
antemeridialis, antemeridialis
antenuptialis, antenuptialis
antepotens, antepotentis
anthedon, anthedonis
anticipalis, anticipalis
Antiochensis, Antiochensis
antiphonalis, antiphonalis
anularis, anularis
aperibilis, aperibilis
apertibilis, apertibilis
Apollinaris, Apollinaris
appalis, appalis
apparens, apparentis
appetens, appetentis
appetibilis, appetibilis
applex, applicis
applicabilis, applicabilis
apprehensibil, apprehensibilis
Aprilis, Aprilis
apsens, apsentis
apsimilis, apsimilis
apstinax, apstinacis
apstinens, apstinentis
aqualis, aqualis
aquatilis, aquatilis
aquilonalis, aquilonalis
aquilonaris, aquilonaris
aquiminalis, aquiminalis
Aquisgranenis, Aquisgranenis
arabilis, arabilis
araneans, araneantis
arator, aratoris
arbitralis, arbitralis
archiepiscopalis, archiepiscopalis
arcifinalis, arcifinalis
arcipotens, arcipotentis
arcitenens, arcitenentis
arcuatilis, arcuatilis
ardens, ardentis
arealis, arealis
arens, arentis
argitis, argitidis
argumentabilis, argumentabilis
argumentalis, argumentalis
argutatrix, argutatricis
argyraspis, argyraspidis
armentalis, armentalis
armipotens, armipotentis
aromatizans, aromatizantis
arquipotens, arquipotentis
arquitenens, arquitenentis
arralis, arralis
arrhalis, arrhalis
arrogans, arrogantis
arrotans, arrotantis
articularis, articularis
artifex, artificis
artificialis, artificialis
arvalis, arvalis
ascendens, ascendentis
ascendibilis, ascendibilis
asexualis, asexualis
asinalis, asinalis
aspectabilis, aspectabilis
aspernabilis, aspernabilis
aspratilis, aspratilis
assimilis, assimilis
Assisinas, Assisinatis
astralis, astralis
astreans, astreantis
Atheniensis, Atheniensis
atricolor, atricoloris
atrox, atrocis
auctionalis, auctionalis
auctorabilis, auctorabilis
auctoralis, auctoralis
auctorizabilis, auctorizabilis
auctumnalis, auctumnalis
aucupalis, aucupalis
audax, audacis
audens, audentis
auditorialis, auditorialis
auguralis, auguralis
augurialis, augurialis
Augustalis, Augustalis
augustalis, augustalis
auratilis, auratilis
auricolor, auricoloris
auricomans, auricomantis
auricularis, auricularis
aurigalis, aurigalis
aurigans, aurigantis
auspicabilis, auspicabilis
auspicalis, auspicalis
auster, austeris
australis, australis
austrinalis, austrinalis
autumnalis, autumnalis
auxiliaris, auxiliaris
avens, aventis
aversabilis, aversabilis
avipes, avipedis
bacalis, bacalis
baccalis, baccalis
Bacchanalis, Bacchanalis
bacilis, bacilis
bacterialis, bacterialis
balans, balantis
balinearis, balinearis
balnearis, balnearis
baptismalis, baptismalis
bellator, bellatoris
bellatrix, bellatricis
bellax, bellacis
bellipotens, bellipotentis
bellualis, bellualis
belluilis, belluilis
belualis, belualis
beluilis, beluilis
benemerens, benemerentis
beneplacens, beneplacentis
benesonans, benesonantis
benevolens, benevolentis
benivolens, benivolentis
besalis, besalis
bessalis, bessalis
bestialis, bestialis
Bethsames, Bethsamitis
bibax, bibacis
bibilis, bibilis
bibliothecalis, bibliothecalis
bibrevis, bibrevis
bicaps, bicapitis
biceps, bicipitis
bicips, bicipitis
bicolor, bicoloris
bicomis, bicomis
bicornis, bicornis
bicorpor, bicorporis
bicors, bicordis
bicubitalis, bicubitalis
bidens, bidentis
bidentalis, bidentalis
biennalis, biennalis
biennis, biennis
bifax, bifacis
biforis, biforis
biformis, biformis
bifrons, bifrontis
bigemmis, bigemmis
bijugis, bijugis
bilanx, bilancis
bilateralis, bilateralis
bilibralis, bilibralis
bilibris, bilibris
bilinguis, bilinguis
bilix, bilicis
bilustris, bilustris
bilychnis, bilychnis
bimammiis, bimammiis
bimaris, bimaris
bimater, bimatris
bimatris, bimatris
bimembris, bimembris
bimenstris, bimenstris
bimestris, bimestris
binominis, binominis
bipalmis, bipalmis
bipatens, bipatentis
bipedalis, bipedalis
bipennis, bipennis
bipensilis, bipensilis
bipes, bipedis
bipinnis, bipinnis
biplex, biplicis
biremis, biremis
bisextialis, bisextialis
bisextilis, bisextilis
bisolis, bisolis
bissextilis, bissextilis
bisulcis, bisulcis
bivertex, biverticis
blandiloquens, blandiloquentis
blasphemabilis, blasphemabilis
boopis, boopis
borealis, borealis
boreotis, boreotidis
botryodes, botryodis
bovilis, bovilis
bracchialis, bracchialis
bracchiolaris, bracchiolaris
brachialis, brachialis
brachiolaris, brachiolaris
bracilis, bracilis
bractealis, bractealis
bravialis, bravialis
breviloquens, breviloquentis
breviloquis, breviloquis
brevis, brevis
brumalis, brumalis
brutalis, brutalis
buccellaris, buccellaris
bugenes, bugenstis
bustualis, bustualis
buxans, buxantis
buxeirostris, buxeirostris
cachinnabilis, cachinnabilis
cadialis, cadialis
caelebs, caelibis
caeleps, caelibis
caeles, caelitis
caelestis, caelestis
caelibalis, caelibalis
caelibaris, caelibaris
caelipotens, caelipotentis
caeremonialis, caeremonialis
caerimonialis, caerimonialis
caerulans, caerulantis
calcabilis, calcabilis
calcarensis, calcarensis
calcariensis, calcariensis
calculensis, calculensis
calefactabilis, calefactabilis
caligaris, caligaris
callens, callentis
cambialis, cambialis
cameralis, cameralis
campester, campestris
campestris, campestris
canaliensis, canaliensis
candens, candentis
candicens, candicentis
candidans, candidantis
canens, canentis
canicularis, canicularis
caniformis, caniformis
canonicalis, canonicalis
cantabilis, cantabilis
cantatrix, cantatricis
capabilis, capabilis
capax, capacis
capillaris, capillaris
capitalis, capitalis
capito, capitonis
capitularis, capitularis
caprilis, caprilis
capripes, capripedis
captatrix, captatricis
captibilis, captibilis
capularis, capularis
caputalis, caputalis
carceralis, carceralis
cardinalis, cardinalis
carians, cariantis
carnalis, carnalis
carnifex, carnificis
carnufex, carnuficis
Carthaginiensis, Carthaginiensis
castigabilis, castigabilis
castimonialis, castimonialis
castrensis, castrensis
casualis, casualis
catax, catacis
cathedralis, cathedralis
caudicalis, caudicalis
causalis, causalis
causidicalis, causidicalis
cautionalis, cautionalis
cavealis, cavealis
caviaris, caviaris
cedens, cedentis
celeber, celebris
celebrabilis, celebrabilis
celebris, celebris
celer, celeris
celeripes, celeripedis
celestis, celestis
cellariensis, cellariensis
cellaris, cellaris
cellularis, cellularis
celox, celocis
cenalis, cenalis
censualis, censualis
centenionalis, centenionalis
centesimalis, centesimalis
centiceps, centcipitis
centimalis, centimalis
centipes, centipedis
centiplex, centiplicis
centralis, centralis
centumplex, centumplicis
centumviralis, centumviralis
centuplex, centuplicis
centurialis, centurialis
ceps, cipis
Cerealis, Cerealis
cerebralis, cerebralis
ceremonialis, ceremonialis
cerimonialis, cerimonialis
chalcaspis, chalcaspidis
chironomon, chironomuntis
choralis, choralis
chortalis, chortalis
chrismalis, chrismalis
Christifidelis, Christifidelis
Christipotens, Christipotentis
chrysitis, chrysitidis
chrysizon, chrysizontis
chrysizon, chrysizontos
cibalis, cibalis
cicur, cicuris
cincinnalis, cincinnalis
circensis, circensis
circiensis, circiensis
circularis, circularis
circumcordialis, circumcordialis
circumcurrens, circumcurrentis
circumflexibilis, circumflexibilis
circumgarriens, circumgarrientis
circumiectalis, circumiectalis
circumjacens, circumjacentis
circumlabens, circumlabentis
circumlucens, circumlucentis
circummulcens, circummulcentis
circumnascens, circumnascentis
circumstridens, circumstridentis
circumvolitabilis, circumvolitabilis
Cisterciensis, Cisterciensis
citipes, citipedis
citiremis, citiremis
civilis, civilis
clabularis, clabularis
claustralis, claustralis
clavularis, clavularis
clemens, clementis
clericalis, clericalis
clivis, clivis
cloacalis, cloacalis
clunalis, clunalis
Cluniacensis, Cluniacensis
clusaris, clusaris
clusilis, clusilis
coactilis, coactilis
coaequalis, coaequalis
cochlearis, cochlearis
cocibilis, cocibilis
cocinaris, cocinaris
coctilis, coctilis
codicillaris, codicillaris
coeles, coelitis
coelestis, coelestis
coelipotens, coelipotentis
coemptionalis, coemptionalis
cogitabilis, cogitabilis
cognitionalis, cognitionalis
cognobilis, cognobilis
cognominis, cognominis
cognoscens, cognoscentis
cohaerens, cohaerentis
cohibilis, cohibilis
cohortalis, cohortalis
colens, colentis
collaris, collaris
collateralis, collateralis
collaudabilis, collaudabilis
collegialis, collegialis
colliciaris, colliciaris
colluviaris, colluviaris
colorabilis, colorabilis
coloratilis, coloratilis
columellaris, columellaris
columis, columis
columnaris, columnaris
comans, comantis
combustibilis, combustibilis
comestabilis, comestabilis
comestibilis, comestibilis
comis, comis
comitabilis, comitabilis
comitatensis, comitatensis
comitialis, comitialis
commeabilis, commeabilis
commeatalis, commeatalis
commemorabilis, commemorabilis
commendabilis, commendabilis
commensurabilis, commensurabilis
commictilis, commictilis
commiscibilis, commiscibilis
commissuralis, commissuralis
commobilis, commobilis
commortalis, commortalis
commovens, commoventis
communalis, communalis
communicabilis, communicabilis
communis, communis
commutabilis, commutabilis
comoinis, comoinis
compactilis, compactilis
compar, comparis
comparabilis, comparabilis
comparilis, comparilis
comparticeps, comparticipis
compassibilis, compassibilis
compatiens, compatientis
compernis, compernis
competalis, competalis
competens, competentis
compitalis, compitalis
compitensis, compitensis
complex, complicis
