abactor, abactoris
abalienatio, abalienationis
abax, abacis
abbas, abbatis
abbreviatio, abbreviationis
abbreviator, abbreviatoris
abdicatio, abdicationis
abdicatrix, abdicatricis
abdomen, abdominis
abductio, abductionis
aberratio, aberrationis
abies, abietis
abigeator, abigeatoris
abitio, abitionis
abjectio, abjectionis
abjuratio, abjurationis
ablactatio, ablactationis
ablaqueatio, ablaqueationis
ablatio, ablationis
ablator, ablatoris
ablegatio, ablegationis
ablutio, ablutionis
abluvio, abluvionis
abnegatio, abnegationis
abnegator, abnegatoris
abnepos, abnepotis
abneptis, abneptis
abnuitio, abnuitionis
abolitio, abolitionis
abolitor, abolitoris
abominatio, abominationis
abortio, abortionis
abrenunciatio, abrenunciationis
abrogatio, abrogationis
abruptio, abruptionis
abscisio, abscisionis
abscissio, abscissionis
absconsio, absconsionis
absegmen, absegminis
absentio, absentionis
absidiale, absidialis
absis, absidis
absolutio, absolutionis
absorptio, absorptionis
absortio, absortionis
abstractio, abstractionis
abstrusio, abstrusionis
absumedo, absumedinis
absumptio, absumptionis
absurditas, absurditatis
abundatio, abundationis
abusio, abusionis
abusor, abusoris
acalanthis, acalanthidis
acalanthis, acalanthidos
acalephe, acalephes
acanthillis, acanthillidis
acanthis, acanthidis
acanthyllis, acanthyllidis
acarne, acarnes
acceleratio, accelerationis
accendo, accendonis
accentor, accentoris
acceptator, acceptatoris
acceptilatio, acceptilationis
acceptio, acceptionis
acceptor, acceptoris
acceptrix, acceptricis
accersitio, accersitionis
accersitor, accersitoris
accessibilitas, accessibilitatis
accessio, accessionis
accidens, accidentis
accitio, accitionis
acclamatio, acclamationis
acclive, acclivis
acclivitas, acclivitatis
accolens, accolentis
accommodatio, accommodationis
accomodatio, accomodationis
accretio, accretionis
accubitatio, accubitationis
accubitio, accubitionis
accumulatio, accumulationis
accumulator, accumulatoris
accuratio, accurationis
accusatio, accusationis
accusator, accusatoris
accusatrix, accusatricis
acer, aceris
acerbitas, acerbitatis
acerbitudo, acerbitudinis
acertas, acertatis
acervalis, acervalis
acervatio, acervationis
acesis, acesis
achaemenis, achaemenidis
acharne, acharnes
Achilles, Achillis
Achilleus, Achilleis
achlis, achlis
achor, achoris
achras, achradis
achynops, achynopis
acidatas, acidatatis
aciditas, aciditatis
acinaces, acinacis
acipenser, acipenseris
acipensis, acipensis
aclassis, aclassis
aclys, aclydis
acoetis, acoetis
acor, acoris
acquisitio, acquisitionis
acquisitrix, acquisitricis
acredo, acredinis
acritas, acritatis
acritudo, acritudinis
acro, acronis
acroama, acroamatis
acroasis, acroasis
acrochordon, acrochordonis
acrochordon, acrochordonis
acrochordon, acrochordonos
acron, acronis
acror, acroris
acte, actes
actio, actionis
activitas, activitatis
actor, actoris
actrix, actricis
actualitas, actualitatis
actuositas, actuositatis
acuitas, acuitatis
acumen, acuminis
acupenser, acupenseris
acupensis, acupensis
acus, aceris
acutor, acutoris
adactio, adactionis
adaequatio, adaequationis
adaeratio, adaerationis
adagio, adagionis
adagnitio, adagnitionis
adamantis, adamantidis
adamantis, adamantidos
adamas, adamantis
adamas, adamantum
adamator, adamatoris
adapatio, adapationis
adapertio, adapertionis
adarce, adarces
adauctor, adauctoris
adaugmen, adaugminis
