abaestuo, abaestuavi
abalieno, abalienavi
abambulo, abambulavi
abbibo, abbibi
abbrevio, abbreviavi
abdico, abdicavi
abdico, abdixi
abdo, abdidi
abduco, abduxi
abeo, abii
abeo, abivi
abequito, abequitavi
aberro, aberravi
abfluo, abfluxi
abfugio, abfugi
abhorreo, abhorrui
abhorresco, abhorrui
abicio, abjeci
abigo, abegi
abigo, abigi
abito, abitavi
abjecto, abjectavi
abjicio, abjeci
abjudico, abjudicavi
abjugo, abjugavi
abjungo, abjunxi
abjurgo, abjurgavi
abjuro, abjuravi
ablacto, ablactavi
ablacuo, ablacuavi
ablaqueo, ablaqueavi
ablego, ablegavi
abligurio, abligurii
abligurio, abligurivi
abligurrio, abligurrii
abligurrio, abligurrivi
abloco, ablocavi
abluo, ablui
abnato, abnatavi
abnego, abnegavi
abnocto, abnoctavi
abnodo, abnodavi
abnumero, abnumeravi
abnuo, abnui
abnuto, abnutavi
abolefacio, abolefeci
aboleo, abolevi
abolesco, abolevi
abomino, abominavi
aborto, abortavi
abrado, abrasi
abrenuntio, abrenuntiavi
abripio, abripui
abrodo, abrosi
abrogo, abrogavi
abrumpo, abrupi
abscedo, abscessi
abscido, abscidi
abscindo, abscidi
abscondeo, abscondui
abscondo, abscondi
abscondo, abscondidi
absento, absentavi
absisto, absistiti
absisto, abstiti
absolvo, absolvi
absono, absonavi
absorbeo, absorbui
absorbeo, absorpsi
abstergeo, abstersi
abstergo, abstersi
absterreo, absterrui
abstineo, abstinui
absto, absteti
abstraho, abstraxi
abstrudo, abstrusi
absum, abfui
absum, afui
absumo, absumpsi
abundo, abundavi
abverto, abverti
accapito, accapitavi
accedo, accessi
accelero, acceleravi
accendo, accendi
accenseo, accensui
accepto, acceptavi
accerso, accersi
accerso, accersii
accerso, accersivi
accessito, accessitavi
accido, accidi
accieo, accii
accieo, accivi
accingo, accinxi
accio, accii
accio, accivi
accipio, accepi
accipitro, accipitravi
acclamo, acclamavi
acclaro, acclaravi
acclino, acclinavi
accludo, acclusi
accolo, accolui
accommodo, accommodavi
accomodo, accomodavi
accongero, accongeravi
accordo, accordavi
accorporo, accorporavi
accredo, accredidi
accresco, accrevi
accubo, accubui
accumbo, accumbui
accumulo, accumulavi
accuro, accuravi
accurro, accucurri
accurro, accurri
accusito, accusitavi
accuso, accusavi
accusso, accussavi
acerbo, acerbavi
acervo, acervavi
acesco, acui
acetasco, acetascavi
acontizo, acontizavi
acquiesco, acquiei
acquiesco, acquievi
acquiro, acquisii
acquiro, acquisivi
actito, actitavi
actuo, actuavi
acueo, acuui
acumino, acuminavi
acuo, acui
adaequo, adaequavi
adaero, adaeravi
adaestuo, adaestuavi
adaggero, adaggeravi
adalligo, adalligavi
adambulo, adambulavi
adamo, adamavi
adamplio, adampliavi
adaperio, adaperii
adaperio, adaperivi
adaperio, adaperui
adapto, adaptavi
adaquo, adaquavi
adaresco, adarecui
adaro, adaravi
adaucto, adauctavi
adaugeo, adauxi
adbello, adbellavi
adbibo, adbibi
adblatero, adblateravi
adbrevio, adbreviavi
adcedo, adcessi
adcelero, adceleravi
adclamo, adclamavi
adclaro, adclaravi
adclino, adclinavi
adcludo, adclusi
adcolo, adcolui
adcommodo, adcommodavi
adcredo, adcredidi
adcresco, adcrevi
adcumbo, adcumbui
adcumulo, adcumulavi
adcuro, adcuravi
adcurro, adcucurri
adcurro, adcurri
addecimo, addecimavi
addico, addixi
addisco, addidici
addivino, addiinavi
addivino, addivinavi
addo, addidi
addoceo, addocui
addormio, addormii
addormio, addormivi
addubito, addubitavi
adduco, adduxi
adedo, adedi
adeo, adii
adeo, adivi
adequito, adequitavi
aderro, aderravi
adessurio, adessurii
adessurio, adessurivi
adesurio, adesurii
adesurio, adesurivi
adfecto, adfectavi
adfero, adtuli
adficio, adfeci
adfigo, adfixi
adfiguro, adfiguravi
adfingo, adfinxi
adfirmo, adfirmavi
adflecto, adflectavi
adfleo, adflevi
adflicto, adflictavi
adfligo, adflixi
adflo, adflavi
adfluo, adfluxi
adformido, adformidavi
adfrico, adfricui
adfrio, adfriavi
