Abdara|ville de Bétique
Abila|ville de Syrie / montagne de Mauritanie
Abobriga|ville de Tarraconnaise
abundatura|Tert. abondance.
accedentia|action d'arriver à tel, tel état [en parlant de poissons]
Actrida|Actrida (ville d'Arabie).
adavia|aïeule au quatrième degré.
Adjuta|nom de femme.
Admedara|ville d'Afrique
adnotatituncula|petite remarque, notule
adnuntia|celle qui annonce.
Aduna|fleuve de Perse
adventicia|bienvenue
advigilantia|grande vigilance
Aedessa|Edesse (ville).
Aegeta|ville de la Mésie supérieure
Aegialea|Égialée [femme de Diomède]
Aegida|Egida (ville d'Illyrie).
Aeliana|ville du Pont
Aeningia|île de l'Océan septentrional
Aeria|ancien nom de la Crète / ancien nom de Thasos / ancien nom donné à l'Égypte
aerophagia|Petr. plat d'oiseaux.
Aethraea|Aethraea (ancien nom de l'île de Rhodes).
Aga|mont d'Arménie
Aganzaga|Aganzaga (ville de Médie).
Agassa|Agasse (ville de Macédoine).
Agathusa|autre nom de l'île de Télos
Agathussa|Agathusssa (nom donné à l'île de Télos).
Agazaga|Agazaga (ville de Perse).
Agbatana|v. Ecbatana.
Agitatoria|titre d'une comédie de Névius
agrimensura|arpentage.
Alaea|île d'Arabie
Alana|ville d'Éthiopie
Alania|pays des Alains
Albia|Albiga (ville d'Aquitaine, auj. Albi).
Allava|station navale de Sicile
allucita|moucheron de nuit (qui va se brûler à la lumière).
Alopecea|Alopèce [île du Pont-Euxin]
Alta|ville de Pannonie
Alvona|ville de Liburnie
Amalaberga|nièce de Théodoric
Amalabirga|Amm. Amalabirga (nièce de Théodoric).
Amalafrida|soeur de Théodoric
Amalafrigda|Amm. Amalafrigda (soeur de Théodoric).
Amana|l'Amana (fleuve de Célésyrie).
Amanda|Amanda (contrée de l'Inde).
ambbubeia|Plin. Cels. chicorée sauvage.
ambegna|victime [brebis] ayant deux agneaux
Amithoscatta|région de l'Arabie
Amithoscuta|Amithoscuta (contrée de l'Arabie).
Amithoscutta|région de l'Arabie
Ammaedara|(Lebaigue P. 68) Ammédara (ville d'Afrique).
Ammedara|ville d'Afrique
Ampeloessa|ville de Syrie
Amphisa|c. Amphissa
Amphomala|ville de Crète
Ampia|nom de f., nom d'h.
Ampsaga|fleuve de Numidie
amula|bassin [vase]
anabaptista|anabaptiste (hérétique qui donnait un deuxième baptême).
Anaetica|petite contrée d'Arménie
Anaitica|l'Anaïtique (contrée de l'Arménie).
Anastasia|nom de femme
Anathothia|pays d'Anathoth
Anatilia|ville de la Narbonnaise
Andarta|déesse chez les Bretons
Andautonia|ville de Pannonie
Andriaca|Andriaca (ville de Lycie).
Androllitia|ancien nom de Magnésie
Androna|ville de Syrie
Andura|ville sur le Nil
Anepsia|nom de femme
Anguitia|fille d'Éétès, soeur de Médée, devenue divinité des Marses
Annaea|nom de femme
Annamatia|ville de la Basse-Pannonie
Antiana|ville de Pannonie
Antianira|fille de Ménélas
Anticaria|ville de la Bétique
Antipatrea|ville d'Illyrie ou de Macédoine
Antistiana|ville de la Tarraconnaise
Antona|v. Avona
Antronia|ville de Magnésie
Anunea|ville dè la Commagène
Aponiana|île près de Lilybée
Appiaria|ville de la Mésie
Arabela|Arabéla (ville de Sicile).
Arabeta|ville sur le Nil
