adversa2|subst., a female opponent, adversary
abecedaria|elementary instruction
AbnobaDiana|the goddess of this mountain
acernia|an unknown fish
Achaja2|The province of Achaia, in the northern part of the Peloponnesus, on the Gulf of Corinth
Acionna|a Gallic deity
adolescentula|a very young maiden;
adventoria|a banquet given on one's arrival
advocata|one called to aid, a supporter
agraria|(sc. lex), an agrarian law,
alabarchia|a kind of customs in Egypt
Alemannia|the country of the Alemanni
alicaria|a prostitute
Aliphira|a town in Arcadia
Alyzea|a small town in Acarnania with a temple dedicated to Hercules, Kandili
amurga|the watery part that flows out in pressing olives, the lees, dregs of oil
AnnaPerenna|an old Italian goddess, the protector, bestower of the returning year, annare perennareque
aprugna|the flesh of a wild boar
arachidna|a wild leguminous plant, a kind of chickling vetch
arboraria|the blackivy
arcuma|a kind of small carriage
ArsiaSilva|a forestin Etruria, celebrated for a battle between the Tarquinii and the Romans
astroonomia|knowledge of the stars, astronomy
Audia|a place in
aurea|the bridle of a horse
Austrania|an island to the north of Germany, Glessaria, the island of Ameland, in West Friesland, Austeravia
bacalusia|a kind of sweetmeat
basilicola|a small church, a little chapel
Bastetania|a district in Spain
batiaca|a kind of drinking-cup
batiola|a small drinking-cup, a goblet
Berrhoea|a town in Macedonia, Irenopolis, north of the river Aliacmon, Verria
blendea|an inferior kind of seafish
bronia|the thunderstone, a precious stone
buccha|The cheek, rouged
Bucephalia|a town in India, on the Hydaspes, built by Alexander, and named after his horse
Bucinna|a small island near Sicily
cachecta|one that is in a consumption
caenatiuncula|a small dining-room
caepuila|a field, bed of onions
calantica|a covering for the head of women, which fell down over the shoulders
calcata|the material for filling ditches, fascines;
camelelasia|camel-driving, the care of the camels belonging to the State
Canusia|a very ancient town in Apulia, Canosa, founded by the Greeks, and celebrated for its excellent wool
cardimoma|a pain in the stomach
carrobalista|a ballista mounted on a carriage
catachana|a tree inoculated with buds of different fruit-trees
catarracta|a waterfall, in gen.; the waterfalls of the Euphrates
cauponaria|a female shopkeeper
Cecina|-I. a surname in the, originating in Etruria -II. a river in Etruria, the Cecina
Cephaleniallania|the largest island in the Ionian Sea, Cephalonia
ceua2|a kind of small cow
chema|a gaping mussel, a cockle
chlora|a medicament
circanea|a bird so named from its circular flight
Cirra|a very ancient town in Phocis, near Delphi
clabula|a scion, graft
Clytemestra|the daughter of Tyndarus and Leda, and sister of Helen, Castor, and Pollux; wife of Agamemnon and mother of Orestes, Iphigenia, and Electra;
cocleola|a small snail
coeliaca|stomach remedy
coenatiuncula|a small dining-room
coloniaria|native of a colony
consponsata|the betrothed, the bride
corocta|an unknown witd animal in Ethiopia, the hyena
corrumptela|that which corrupts, a corrupting, corruption, seduction, bribery
cosmeta|he who ornaments one, an adorner;
crocodilina|a sophism, crocodile, a crocodile-conclusion
Cuballa|a town in
cupedia|Fondness for dainties, daintiness, lickerishness
cynorroda|The dog-rose
Cyparia|a town in Messenia, Arkadhia
Dania|Denmark
dasea|the rough-breathing
dianoea|by which a fact is exhibited instead of a conception
diaphora|distinction
dilatura|a postponement, delay
domucula|a little house, a porch
eclesia|an assembly of the, people.
effectiva|practical art, productive art
emetica|an incitement to vomit, an emetic
emplastra|a plaster.
Erycina|Venus
faeniseca|a mower
farctura|A cramming, fattening
Fessonia|the goddess of weary persons
ficecula|a small bird, the fig-pecker, becafico, in lemm.;
ficetula|a small bird, the fig-pecker, becafico, in lemm.;
flebotomia|blood-letting, phlebotomy
foenisicia|mown hay
fossoria|digging
fringuilla|a small bird, the robin redbreast, the chaffinch
Frivolaria|the title of a comedy of Plautus, of which only a few fragments have been preserved.
Gala|the father of Masinissa
galera|a helmet-like covering for the head, made of undressed skin, a cap, bonnet, hat
gannatura|a snarling, yelping
gannitura|a snarling, yelping
Garamantica|a sort of precious stone
Gargaphia|a valley of B&oelig;vtia sacred to Diana, with a fountain of the same name, where Act&oelig;on was torn to pieces by his hounds
Gebenna|a chain of mountains in Gaul, the Cevennes
genethliologia|the art of calculating nativities, casting horoscopes
Genna|a city of the Allobroges, upon Lake Leman, at the point where the Rhone passes from it, Geneva
Graecula|a Greekling, a weak imitator of Greek women
gymnasiarcha|ext.;
hapaluria|a vessel for soft eggs
hebria|a wine-vessel
Hermagora|A celebrated Greek rhetorician of Rhodes
heroina|a demi-goddess, heroine
Hetruria|a country of central Italy
Hiberina|a female Iberian, a Spanish woman
hieracia|hawkweed
hinnulea|a young hind
Hippodamea|Daughter of &OElig;noma&uuml;s, king of Elis; she became the wife of Pelops, who won her in a race with her father
histrionica|the player's art
horoscopica|the casting of nativities
Hygea|daughter of &AElig;sculapius, and goddess of health
Iamphoryna|the capital of the M&oelig;di in Macedonia, Vrania, Ivorina
inconruptela|imperishableness, incorruptibility
infantaria|a woman fond of infants
innocia|innocence
isagoga|an introduction
Ituraea|A district of C&oelig;lesyria, the inhabitants of which were celebrated as archers, El-Jeidoor
Ityraea|A district of C&oelig;lesyria, the inhabitants of which were celebrated as archers, El-Jeidoor
jacea|a wooden hay-rack
jectura|a throwing, casting
Juliobriga|a town in Hispania Tarraconensis
kalumnia|trickery, artifice, chicanery, cunning device.
lacrimola|a little tear, crocodile-tear
lagaena|a large earthen vessel with a neck and handles, a flask, flagon, bottle
Larga|the name of a woman of bad repute
leocrocota|a wild beast in India
Leonida|A king of Sparta, who fell at Thermopyl&aelig;
Lethaea|the wife of Olĕnus, who, on account of her pride, was turned into stone
Leucata|a promontory in the island of Leucadia, now Capo Ducato
leucographia|a precious stone
literatura|A writing
literula|A little letter
loba|The haulm, straw of Indian millet
locutuleia|a female babbler
longicia|length
Luppia|a river in the north-west of Germany, Lippe
lusoria|a, vessel for pleasure, yacht, any kind of light vessel, cutter
Lycimnia|the name of the wife of a king of Lydia
Lycinna|the name of a girl
macteola|a little delicacy, dainty
Madaura|a city in Numidia, Ayedrah
Maguntia|a city of Germany, on the Rhine, Mayence
Majja|-I. Daughter of Atlas and Pleione, and the mother of Mercury by Jupiter -II. A daughter of Faunus
Malacha|a city of, Malaga
Malevola|a female enemy, foe
malogranata|a pomegranatetree
mammamilla|a breast, pap, nipple, teat
mantichora|a fabulous Indian beast, with a human face, a lion's body, and a scorpion's tail
