suppactus|suppactus=sūppāctus|11|||a, um
suppaedagogus|suppaedăgōgus=sūppāedăgōgus|1|||i, m.
suppaetulus|suppaetŭlus=sūppāetŭlus|11|||a, um
suppalidus|suppalĭdus=sūppalĭdus|11|||a, um
suppallidus|suppallĭdus=sūppāllĭdus|11|||a, um
suppalpor|suppalpor=sūppālpŏr|24|||āri, intr.
suppar|suppār=sūppār|15|sūppăr||păris
supparasitor|suppărăsītor=sūppărăsītŏr|24|||āri, intr.
supparatura|suppărātūra=sūppărātūra|0|||ae, f.
supparile|suppărĭlĕ=sūppărĭlĕ|8|sūppărĭl||is, n.
supparo|suppăro=sūppăro|17|||āre
supparum|suppărum=sūppărum|4|||i, n.
supparus|suppărus=sūppărus|1|||i, m.
suppateo|suppătĕo=sūppătĕo|18|||ēre, intr.
suppedaneum|suppĕdānĕum=sūppĕdānĕum|4|||i, n.
suppedaneus|suppedāneus=sūppedānēus|11|||a, um
suppeditatio|suppĕdĭtātĭo=sūppĕdĭtātĭo|5|sūppĕdĭtātĭōn||ōnis, f.
suppeditatus|suppĕdĭtātus=sūppĕdĭtātus|11|||a, um
|suppĕdĭto=sūppĕdĭto|17|||as, are
suppedo|suppēdo=sūppēdo|19|||ĕre, intr.
suppernatus|suppernātus=sūppērnātus|11|||a, um
supperturbo|supperturbo=sūppērtūrbo|17|||āre
supperturbor|supperturbor=sūppērtūrbŏr|24|||Arī
suppes|suppēs=sūppēs|15|sūppĕd||pĕdis
suppetiae|suppĕtĭae=sūppĕtĭāe|0|||arum, f.
suppetiatus|suppĕtĭātŭs=sūppĕtĭātŭs|9|||us, m.
suppetilis|suppĕtĭlis=sūppĕtĭlis|14|sūppĕtĭl||e
suppetior|suppĕtĭor=sūppĕtĭŏr|24|||ātus, 1, intr.
suppetium|suppĕtĭum=sūppĕtĭum|4|||ii, n.
|suppĕto=sūppĕto|19|sūppĕtīv|sūppĕtīt|is, ere, iui, itum
suppilo|suppīlo=sūppīlo|17|||no perf., ātum, 1
suppingo|suppingo=sūppīngo|19|sūppīnx|sūppīct|ĕre
suppingo2|suppingo2=sūppīngo|19|sūppēg|sūppāct|no perf., pactum, 3
suppinguis|suppinguis=sūppīngụis|14|sūppīngụ||e
supplantatio|supplantātĭo=sūpplāntātĭo|5|sūpplāntātĭōn||ōnis, f.
supplantator|supplantātŏr=sūpplāntātŏr|5|sūpplāntātōr||ōris, m.
supplanto|supplanto=sūpplānto|17|||āvi, ātum, 1
supplaudo|supplaudo=sūpplāudo|19|sūpplāus|sūpplāus|si, 3
supplausio|supplausĭo=sūpplāusĭo|5|sūpplāusĭōn||ōnis, f.
|supplēmentum=sūpplēmēntŭm|4|||i, n.
|supplĕo=sūpplĕo|18|sūpplēv|sūpplēt|es, ere, pleui, pletum
suppletio|supplētĭo=sūpplētĭo|5|sūpplētĭōn||ōnis, f.
suppletorium|supplētōrĭum=sūpplētōrĭum|4|||ii, n.
suppletus|supplētus=sūpplētus|11|||a, um
|supplex=sūpplēx|14|sūpplic||plicis @ suppliciter
supplex2|supplex2=sūpplēx|5|sūpplĭc||ĭcis, m.
supplicamentum|supplĭcāmentum=sūpplĭcāmēntum|4|||i, n.
supplicanter|supplĭcantĕr=sūpplĭcāntĕr|30|||adv.
|supplĭcātĭo=sūpplĭcātĭō̆|5|sūpplĭcātĭōn||ionis, f.
supplicator|supplĭcātŏr=sūpplĭcātŏr|5|sūpplĭcātōr||ōris, m.
supplice|supplĭcē=sūpplĭcē|30|||adv.
supplicialis|supplĭcĭālis=sūpplĭcĭālis|14|sūpplĭcĭāl||e
|supplĭcĭter=sūpplĭcĭtĕr|32|||adv.
|supplĭcĭum=sūpplĭcĭŭm|4|||i, n.
|supplĭco=sūpplĭco|17|||as, are
supplicue|supplĭcŭē=sūpplĭcŭē|30|||adv.
supplodo|supplōdo=sūpplōdo|19|sūpplōs|sūpplōs|si, 3
supplosio|supplōsĭo=sūpplōsĭo|5|sūpplōsĭōn||ōnis, f.
suppo|suppo=sūppo|17|||āre
suppoenitet|suppoenĭtet=sūppōenĭtĕo|18|||ēre, v. impers.
suppolitor|suppŏlītŏr=sūppŏlītŏr|5|sūppŏlītōr||ōris, m.
|suppōno=sūppōno|19|sūppŏsŭ|sūppŏsĭt|is, ere, posui, positum
