a|ā|||interj. |v. ah.|2 a|ā
ah|āh|||interj. |v. ah.|2 a|āh
Aaron|Aārōn|indecl.|m.|subst.|Aaron [grand prêtre des Hébreux]|Aaron|Aārōn
Aron|Arōn|indecl.|m.|subst.|Aaron [grand prêtre des Hébreux]|Aaron|Arōn
Aaroneus|Aārŏnĕus|a, um||adj.|d'Aaron|Aaron|-rŏnĕus
abaddir|ābaddir|indecl.|n.|subst.|bétyle, [et spécialt pierre que Rhéa donna à dévorer à Saturne au lieu de Jupiter enfant]|abaddir|ābaddir
abaddir|abaddir|īris|m.|subst.|bétyle, [et spécialt pierre que Rhéa donna à dévorer à Saturne au lieu de Jupiter enfant]|abaddir|abaddir
abaeto|ābaeto|ĕre||intr. |et baeto ou bito), int., s'en aller|abaeto|ābaeto
abito|ābīto|ĕre||intr. |et baeto ou bito), int., s'en aller|abaeto|ābīto
abarceo|ăbarcĕo|ēre|||empêcher, tenir, éloigné|abarceo|ăbarcĕo
aberceo|ăbercĕo|ēre|||empêcher, tenir, éloigné|abarceo|ăbercĕo
Abares|Abăres|um|m.|subst.|peuple scythe|Abares|Abăres
Avares|Avăres|um|m.|subst.|peuple scythe|Abares|Avăres
abba|abba|ātis|m.|subst.|abbé, chef d'une communauté religieuse|abba|abba
abbas|abbās|ātis|m.|subst.|abbé, chef d'une communauté religieuse|abba|abbās
Abbius|Abbĭus||m.|subst.|nom de fam. romain|Abbius|Abbĭus
Abbia|Abbĭa||f.|subst.|nom de fam. romain|Abbius|-a
Abdera|Abdēra|ae|f.|subst.|Abdère, ville de Thrace|Abdera|Abdēra
Abdera|Abdēra|ōrum|n.|subst.|Abdère, ville de Thrace|Abdera|Abdēra
Abderites|Abdērītēs|ae|m.|subst.|Abdéritain, d'Abdère|Abderites|Abdērītēs
Abderitanus|Abdērītānus|ārum|m.|subst.|d'Abdère|Abderites|-tānus
Abderitae|Abdērītae|ārum|m.|subst.|Abdéritains|Abderites|-tae
Abel|Abēl|indecl.|m.|subst.|Abel [fils d'Adam]|Abel|Abēl
Abel|Abēl|ēlis|m.|subst.|Abel [fils d'Adam]|Abel|Abēl
Abelus|Abēlus|i|m.|subst.|Abel [fils d'Adam]|Abel|Abēlus
Abella|Abella|ae|f.|subst.|ville de Campanie|Abella|Abella
Abellae|Abellae|ārum|f.|subst.|ville de Campanie|Abella|Abellae
Abellani|Abellāni|ōrum|m.|subst.|habitants d'Abella|Abella|-āni
abellana|ăbellāna||||v. avellana.|abellana|ăbellāna
abellina|ăbellīna nux||||v. avellana.|abellana|ăbellīna nux
Abellinum|Abellīnum|i|n.|subst.|ville du Samnium|Abellinum|Abellīnum
Abellinus|Abellīnus|a, um||adj.|d'Abellinum|Abellinum|-īnus
Abessalom|Abessālōm||m.|subst.|c. Absalom.|Abessalom|Abessālōm
Abessalon|Abessālōn||m.|subst.|c. Absalom.|Abessalom|-ōn
abfore|abfŏre||||inf. fut. de absum.|abfore|abfŏre
abfuturum|abfŭtūrum esse||||inf. fut. de absum.|abfore|abfŭtūrum esse
Abgar|Abgar|i|m.|subst.|nom de plusieurs rois|Abgar|Abgar
Abgarus|Abgarus|i|m.|subst.|nom de plusieurs rois|Abgar|Abgarus
Acbarus|Acbarus|||||Abgar|Acbarus
abidum|ăbīdum||||va-t'en donc|abidum|ăbīdum
abi|abi dum||||va-t'en donc|abidum|abi dum
abiegineus|ăbĭĕgĭnĕus|a, um||adj.|c. abiegnus|abiegineus|ăbĭĕgĭnĕus
abiegneus|ăbĭēgnĕus|a, um||adj.|c. abiegnus|abiegineus|ăbĭēgnĕus
abiegnius|ăbĭēgnĭus|a, um||adj.|c. abiegnus|abiegineus|ăbĭēgnĭus
Abitinae|Abitinae|ārum|f.|subst.|ville d'Afrique|Abitinae|Abitinae
Abitinensis|Abitinensis|e||adj.|d'Abitinae|Abitinae|-nensis
Aborigines|Abŏrīgĭnes|um|m.|subst.|premiers habitants d'un pays / Aborigènes [peuple primitif de l'Italie]|Aborigines|Abŏrīgĭnes
Aborigineus|Abŏrīgĭnĕus|a, um||adj.|relatif aux Aborigènes|Aborigines|-gĭnĕus
abrelinquo|abrĕlinquo|līqui, ĕre||tr. |tr., laisser|abrelinquo|abrĕlinquo
abrelictus|abrĕlictus|a, um||adj.|abandonné|abrelinquo|-lictus
abremissa|abrĕmissa|ōrum|n.|subst.|rémission|abremissa|abrĕmissa
abremissa|abrĕmissa|ae|f.|subst.|rémission|abremissa|abrĕmissa
abremissio|abrĕmissĭo|ōnis|f.|subst.|rémission|abremissa|abrĕmissĭo
Abrincates|Abrincates|um|m.|subst.|les Abrincates [auj. Avranches]|Abrincates|Abrincates
Abrincatae|Abrincatae|ārum|m.|subst.|les Abrincates [auj. Avranches]|Abrincates|Abrincatae
Abrincateni|Abrincatēni|ōrum|m.|subst.|les Abrincates [auj. Avranches]|Abrincates|Abrincatēni
Abrincatui|Abrincatui|ōrum|m.|subst.|les Abrincates [auj. Avranches]|Abrincates|Abrincatui
abrogo|abrŏgo|āvi, ātum, āre|pl. n.|tr. |fidem alicui, alicui rei, enlever le crédit à qqn, à qqch / imperium, magistratum, etc., alicui, enlever à qqn ses pouvoirs, ses fonctions, sa charge / supprimer, abroger [une loi] / [en gén.] enlever, supprimer|abrogo|abrŏgo
abrogata|abrogata||||des choses abolies|abrogo|abrogata
abrotonum|abrŏtŏnum|i|n.|subst.|aurone [plante médicinale]. qqf habrot-.|abrotonum|abrŏtŏnum
abrotonus|abrŏtŏnus|i|m.|subst.|aurone [plante médicinale]. qqf habrot-.|abrotonum|abrŏtŏnus
Absalom|Absalom|indecl.|m.|subst.|Absalon [fils de David]|Absalom|Absalom
Abessalon|Abessalon|indecl.|m.|subst.|Absalon [fils de David]|Absalom|Abessalon
Absarrum|Absarrum|i|n.|subst.|fleuve de Colchide|Absarrum|Absarrum
Absarus|Absarus|i|m.|subst.|fleuve de Colchide|Absarrum|Absarus
abscondi|abscondi||||pf. de abscondo.|abscondi|abscondi
abscondidi|abscondĭdi||||pf. de abscondo.|abscondi|abscondĭdi
absis|absis|īdis|f.|subst.|ou mieux|absis|absis
apsis|apsis|īdis|f.|subst.|arc, voûte / course d'une planète / assiette / choeur d'une église|absis|apsis
Abydus|Abȳdus|i|f.|subst.|[ville de la Haute-Égypte]|Abydus|Abȳdus
Abydos|Abȳdos|i|n.|subst.|[ville de la Haute-Égypte]|Abydus|Abȳdos
Abydum|Abȳdum|i|n.|subst.|[ville de la Haute-Égypte]|Abydus|Abȳdum
Acalandrus|Acalandrus||||fleuve de Lucanie|Acalandrus|Acalandrus
Acalander|Acalander||||fleuve de Lucanie|Acalandrus|-der
acanthice|acanthicē|ēs|f.|subst.|[joint à|acanthice|acanthicē
mastiche|mastichē||||], suc de la plante nommée helxine|acanthice|mastichē
acarna|acarna||||v. acharne.|acarna|acarna
acarne|acarnē||||v. acharne.|acarna|acarnē
Acarnanicus|Acarnānĭcus|a, um||adj.|acarnanien|Acarnanicus|Acarnānĭcus
Acarnanus|Acarnānus|a, um||adj.||Acarnanicus|-nānus
acatalecticus|ăcătălectĭcus|a, um||adj.|acatalectique [le contraire de catalectique ; donc vers qui a son dernier pied complet]|acatalecticus|ăcătălectĭcus
acatalectus|ăcătălectus|a, um||adj.|acatalectique [le contraire de catalectique ; donc vers qui a son dernier pied complet]|acatalecticus|ăcătălectus
Acaunensis|Acaunensis|e||adj.|d'Acaunus|Acaunensis|Acaunensis
Agaunensis|Agaunensis|e||adj.|d'Acaunus|Acaunensis|Agaunensis
Acaunus|Acaunus|i|m.|subst.|nom de lieu du pays des Nantuates (Saint-Maurice dans le Valais)|Acaunus|Acaunus
Acauni|Acauni|ōrum|m.|subst.|habitants d'Acaunus|Acaunus|Acauni
accanto|accanto|āre||intr. |int., chanter auprès de [dat.]|accanto|accanto
adcanto|adcanto|āre||intr. |int., chanter auprès de [dat.]|accanto|adcanto
accenseo|accensĕo|censum, ēre||tr. |tr., mettre au nombre de, rattacher à, alicui, alicui rei, à qqn, à qqch|accenseo|accensĕo
adcenseo|adcensĕo|censum, ēre||tr. |tr., mettre au nombre de, rattacher à, alicui, alicui rei, à qqn, à qqch|accenseo|adcensĕo
acceptilatio|acceptīlātĭo|ōnis|f.|subst.|acceptilation, action de porter comme reçu [décharge, quittance]|acceptilatio|acceptīlātĭo
accepti|accepti lātĭo|ōnis|f.|subst.|acceptilation, action de porter comme reçu [décharge, quittance]|acceptilatio|accepti lātĭo
accidentaliter|accĭdentālĭtĕr||||accidentellement|accidentaliter|accĭdentālĭtĕr
accidenter|accĭdentĕr||||accidentellement|accidentaliter|accĭdentĕr
Accius|Accĭus|ĭi|m.|subst.|L. Accius [poète romain]|Accius|Accĭus
Accia|Accĭa|ae|f.|subst.|L. Accius [poète romain]|Accius|Accĭa
acclamatio|acclāmātĭo|ōnis|f.|subst.|cris à l'adresse de qqn / acclamation / [en mauv. part] huée, clameur / action de crier / [rhét.] exclamation|acclamatio|acclāmātĭo
adclamatio|adclāmātĭo|ōnis|f.|subst.|cris à l'adresse de qqn / acclamation / [en mauv. part] huée, clameur / action de crier / [rhét.] exclamation|acclamatio|adcl-
acclamo|acclāmo|āvi, ātum, āre||intr. |pousser des cris à l'adresse de qqn ou de qqch, pour protester ou blâmer / [avec prop. inf.] crier en réponse que protester que / [pour louer] / répondre par des cris / en réponse s'élèvent les cris « lis, lis » ; [avec prop. inf.] répondre par acclamation que / [avec ut] en réponse demander à grands cris que / [avec acc. de la chose criée] crier à l'adresse de qqn|acclamo|acclāmo
adclamo|adclāmo|āvi, ātum, āre||intr. |pousser des cris à l'adresse de qqn ou de qqch, pour protester ou blâmer / [avec prop. inf.] crier en réponse que protester que / [pour louer] / répondre par des cris / en réponse s'élèvent les cris « lis, lis » ; [avec prop. inf.] répondre par acclamation que / [avec ut] en réponse demander à grands cris que / [avec acc. de la chose criée] crier à l'adresse de qqn|acclamo|adcl-
acclaro|acclāro|āvi, āre||tr. |et clarus), tr., rendre clair, faire voir clairement|acclaro|acclāro
adclaro|adclāro|āvi, āre||tr. |et clarus), tr., rendre clair, faire voir clairement|acclaro|adcl-
acclinis|acclīnis|e||adj.|appuyé à ou contre, adossé à|acclinis|acclīnis
adclinis|adclīnis|e||adj.|appuyé à ou contre, adossé à|acclinis|adcl-
acclino|acclīno|āvi, ātum, āre||tr. |tr., appuyer à ou contre, incliner vers|acclino|acclīno
adclino|adclīno|āvi, ātum, āre||tr. |tr., appuyer à ou contre, incliner vers|acclino|adcl-
acclivis|acclīvis|e||adj.|qui a une pente montante [pente vue d'en bas], qui va en montant|acclivis|acclīvis
adclivis|adclīvis|e||adj.|qui a une pente montante [pente vue d'en bas], qui va en montant|acclivis|adcl-
acclivus|acclivus|a, um||adj.||acclivis|acclivus
acclivitas|acclīvĭtās|ātis|f.|subst.|montée, pente en montée / hauteur, colline|acclivitas|acclīvĭtās
adclivitas|adclīvĭtās|ātis|f.|subst.|montée, pente en montée / hauteur, colline|acclivitas|adcl-
accognosco|accognosco|ōvi, ĭtum, ĕre||tr. |tr., reconnaître|accognosco|accognosco
adcognosco|adcognosco|ōvi, ĭtum, ĕre||tr. |tr., reconnaître|accognosco|adcogn-
accolo|accŏlo|cŏlŭi, cultum, ĕre||tr. |tr., habiter auprès|accolo|accŏlo
adcolo|adcŏlo|cŏlŭi, cultum, ĕre||tr. |tr., habiter auprès|accolo|adcŏlo
accommodate|accommŏdātē||||[avec ad|accommodate|accommŏdātē
adcommodate|adcommŏdātē||||[avec ad|accommodate|adcom-
accommodatio|accommŏdātĭo|ōnis|f.|subst.|appropriation / esprit d'accommodement|accommodatio|accommŏdātĭo
