a|A|as an abbreviation|||||||A1
a|ā||||from, away from, out of||||a2
abactus|abāctus|||adj.|driven away, driven off, driven back, already turned towards dawn, restrained by||||abactus
abacus|abacus|ī|m||a table of precious material for the display of plate||||abacus
abalienatio|abaliēnātiō|īnis|f||a transfer of property, sale, cession||||abalienatio
abalieno|ab-aliēnō|āvī, ātus, āre|||to convey away, make a former transfer of, sell, alienate||||abalieno
Abanteus|Abantēus|||adj.|of Abas (king of Argos): Argi, O.||||Abanteus
Abantiades|Abantiadēs|ae|m||a son or descendant of Abas (king of Argos), O.||||Abantiades
abavus|abavus|ī|m||a grandfather's grandfather, an ancestor||||abavus
abcido|(abcīdō)|a false spelling for abscīdō.|||ppropriate||||abcido
Abdera|Abdēra|ōrum|n||a town of Thrace, proverbial for narrow-minded people||||Abdera
abdicatio|abdicātiō|ōnis|f||a formal laying down, voluntary renunciation, abdication||||abdicatio
abdico|ab-dicō|āvī, ātus, āre|||||||abdico1
abdico|ab-dīcō|dīxī, &mdash;, ere, in augury|||to forbid by an unfavorable omen, reject (opp. addico)||||abdico2
abditus|abditus|||adj.|hidden, concealed, secret, locked up, hidden beyond discovery, in ambush, mysterious, hidden in, buried, n., hidden places, abstruse matters||||abditus
abdo|ab-dō|idī, itus, ere|||to put away, remove, set aside, to go away, betake oneself, to depart, to hide, conceal, put out of sight, keep secret, up to the barb, to cover with, let him rest, buried||||abdo
abdomen|abdōmen|inis|n||the belly, abdomen:||||abdomen
abduco|ab-dūcō|dūxī, ductus, ere|||to lead away, take away, carry off, remove, lead aside:||||abduco
Abella|Abella|ae|f||a town of Campania, V.||||Abella
abeo|ab-eō|iī, itūrus, īre|||to go from, go away, go off, go forth, go, depart:||||abeo
abequito|ab-equitō|āvī, &mdash;, āre|||to ride away (once):||||abequito
aberam|aberam, abesse|see absum.|||||||aberam
aberratio|aberrātiō|ōnis|f||a relief, diversion||||aberratio
aberro|ab-errō|āvī, &mdash;, āre|||to wander out of the way, lose the way, go astray:||||aberro
abfore|abfore, abforem|see absum.|||Y:||||abfore
abhinc|ab-hinc|||adv.|of time, ago, since, before now||||abhinc
abhorrens|abhorrēns|ntis||adj.|incongruous, inappropriate||||abhorrens
abhorreo|ab-horreō|uī, &mdash;, ēre|||to shrink back from, have an aversion for, shudder at, abhor:||||abhorreo
abicio|abiciō (a usu. long by position) or abiiciō|iēcī, iectus, ere|||to throw from one, cast away, throw away, throw down, has given up the fight, to many in your behalf, dash to the earth, he threw himself down as if lifeless, throw it away, to discharge, cast, throw, fling, to cast off, throw away, give up, must be got rid of, to throw off, cast aside, give up, abandon, to resign one's candidacy, I reject the technical defence, nonsense apart, To cast down, degrade, humble, lower, se, to give up in despair, To throw away, sell for a trifle, sell cheap||||abicio
abiecte|abiectē|||adv.|dispiritedly, abjectly, lowly, meanly||||abiecte
abiectio|abiectiō|ōnis|f||a casting down||||abiectio
abiectus|abiectus|||adj.|low, crouching, dying, low, common, without elevation, low, common, mean, Cast down, dispirited, despondent, as a gift to Brutus in his distress, Contemptible, vile, low||||abiectus
abiegnus|abiēgnus|||adj.|of fir-wood, deal, the wooden horse before Troy||||abiegnus
abies|abiēs|etis|f||the fir-tree, silver-fir:||||abies
abigo|abigō|ēgī, āctus, ere|||to drive away, drive off, to drive away, carry off, to force a birth, to drive away, repel, expel||||abigo
abiicio|abiiciō|see abicio.|||Ō||||abiicio
abin'|abin'|see abeo.|||LY||||abin'
abitio|abitiō|ōnis|f||a departure||||abitio
abitus|abitus|ūs|m||a departure, removal, An outlet, way of exit, passage out||||abitus
abiudico|ab-iūdicō|āvī, ātus, āre, of a judge or tribunal|||to give judgment against, deprive by a judicial decision, adjudge away:||||abiudico
abiungo|ab-iungō|iūnxī, iūnctus, ere|||to unyoke, loose from harness:||||abiungo
abiuro|ab-iūrō|āvī, ātus, āre|||to deny on oath, abjure:||||abiuro
ablatus|ablātus||||P. of aufero.||||ablatus
ablegatio|ablēgātiō|ōnis|f||a sending away, sending off||||ablegatio
ablego|ab-lēgō|āvī, ātus, āre|||to send off, send out of the way, banish, send into exile:||||ablego
abligurrio|ab-ligurriō (-ūriō)|īvī, &mdash;, īre|||to consume in dainty living, waste in feasting (rare):||||abligurrio
abludo|ab-lūdō|&mdash;, ere|||to play out of tune.||||abludo
abluo|ab-luō|luī, lūtus, ere|||to wash away, remove by washing:||||abluo
abnego|ab-negō|āvī, ātus, āre|||to refuse, deny (poet.):||||abnego
abnormis|abnōrmis|e||adj.|deviating from rule, irregular, of no school||||abnormis
abnuo|ab-nuō|nuī, nuitūrus, ere|||to refuse by a sign, deny, refuse, reject, decline:||||abnuo
abnuto|abnūtō|&mdash;, &mdash;, āre|||to forbid with emphasis, forbid approach to thee||||abnuto
aboleo|aboleō|olēvī, olitus, ēre|||to destroy, abolish, efface, put out of the way, annihilate, to destroy the, flesh||||aboleo
abolesco|abolēscō|olēvī, &mdash;, ere|||to decay gradually, vanish, disappear, die out||||abolesco
abolitio|abolitiō|ōnis|f||an abolition, An annulling||||abolitio
abolla|abolla|ae|f||a mantle, cloak,||||abolla
abominor|ab-ōminor|ātus, ārī||dep.|orig. of bad omens, to deprecate, wish to nullify:||||abominor
Aborigines|Aborīginēs|um|m||the first ancestors of the Romans||||Aborigines
abortio|abortiō|ōnis|f||the procuring of an untimely birth, abortion:||||abortio
abortivus|abortīvus|||adj.|prematurely born:||||abortivus
abortus|abortus|ūs|m||an untimely birth||||abortus
abrado|ab-rādō|rāsī, rāsus, ere|||to scrape away, shave off:||||abrado
abreptus|abreptus||||P. of abripio.||||abreptus
abripio|abripiō|ripuī, reptus, ere|||to take forcibly away, snatch away, tear from, force off, stolen, shall be dragged, to run away, to dissipate, squander, will snatch away in a lump, to carry off, remove, detach, made unlike him||||abripio
abrogatio|abrogātiō|ōnis|f||repeal||||abrogatio
abrogo|ab-rogō|āvī, ātus, āre, of a law|||to repeal, annul, abrogate:||||abrogo
abrotonum|abrotonum (habr-)|ī|n||an aromatic plant, southern-wood (a medicine),||||abrotonum
abrumpo|ab-rumpō|rūpī, ruptus, ere|||to break off, break away, tear, rend, burst, sever:||||abrumpo
abruptio|abruptiō|ōnis|f||a breaking off||||abruptio
