2 a|ā|ā|||interj. |v. ah.
2 a|āh|āh|||interj. |v. ah.
Aaron|Aārōn|Aārōn|indecl.|m.|subst.|Aaron [grand prêtre des Hébreux]
Aaron|Arōn|Arōn|indecl.|m.|subst.|Aaron [grand prêtre des Hébreux]
Aaron|Aārŏnĕus|-rŏnĕus|a, um||adj.|d'Aaron
abaddir|ābaddir|ābaddir|indecl.|n.|subst.|bétyle, [et spécialt pierre que Rhéa donna à dévorer à Saturne au lieu de Jupiter enfant]
abaddir|abaddir|abaddir|īris|m.|subst.|bétyle, [et spécialt pierre que Rhéa donna à dévorer à Saturne au lieu de Jupiter enfant]
abaeto|ābaeto|ābaeto|ĕre||intr. |et baeto ou bito), int., s'en aller
abaeto|ābīto|ābīto|ĕre||intr. |et baeto ou bito), int., s'en aller
abarceo|ăbarcĕo|ăbarcĕo|ēre|||empêcher, tenir, éloigné
abarceo|ăbercĕo|ăbercĕo|ēre|||empêcher, tenir, éloigné
Abares|Abăres|Abăres|um|m.|subst.|peuple scythe
Abares|Avăres|Avăres|um|m.|subst.|peuple scythe
abba|abba|abba|ātis|m.|subst.|abbé, chef d'une communauté religieuse
abba|abbās|abbās|ātis|m.|subst.|abbé, chef d'une communauté religieuse
Abbius|Abbĭus|Abbĭus||m.|subst.|nom de fam. romain
Abbius|Abbĭa|-a||f.|subst.|nom de fam. romain
Abdera|Abdēra|Abdēra|ae|f.|subst.|Abdère, ville de Thrace
Abdera|Abdēra|Abdēra|ōrum|n.|subst.|Abdère, ville de Thrace
Abderites|Abdērītēs|Abdērītēs|ae|m.|subst.|Abdéritain, d'Abdère
Abderites|Abdērītānus|-tānus|ārum|m.|subst.|d'Abdère
Abderites|Abdērītae|-tae|ārum|m.|subst.|Abdéritains
Abel|Abēl|Abēl|indecl.|m.|subst.|Abel [fils d'Adam]
Abel|Abēl|Abēl|ēlis|m.|subst.|Abel [fils d'Adam]
Abel|Abēlus|Abēlus|i|m.|subst.|Abel [fils d'Adam]
Abella|Abella|Abella|ae|f.|subst.|ville de Campanie
Abella|Abellae|Abellae|ārum|f.|subst.|ville de Campanie
Abella|Abellāni|-āni|ōrum|m.|subst.|habitants d'Abella
abellana|ăbellāna|ăbellāna||||v. avellana.
abellana|ăbellīna nux|ăbellīna nux||||v. avellana.
Abellinum|Abellīnum|Abellīnum|i|n.|subst.|ville du Samnium
Abellinum|Abellīnus|-īnus|a, um||adj.|d'Abellinum
Abessalom|Abessālōm|Abessālōm||m.|subst.|c. Absalom.
Abessalom|Abessālōn|-ōn||m.|subst.|c. Absalom.
abfore|abfŏre|abfŏre||||inf. fut. de absum.
abfore|abfŭtūrum esse|abfŭtūrum esse||||inf. fut. de absum.
Abgar|Abgar|Abgar|i|m.|subst.|nom de plusieurs rois
Abgar|Abgarus|Abgarus|i|m.|subst.|nom de plusieurs rois
Abgar|Acbarus|Acbarus||||
abidum|ăbīdum|ăbīdum||||va-t'en donc
abidum|abi dum|abi dum||||va-t'en donc
