a|ā|30|||prép. + Abl.|
ab|ăb|30|||prép. + Abl.|
abacus|ăbăcus|1|||i, m.|
abalieno|ăbălĭēno|17|||as, are|
abcido|abcīdo=ābcīdo|19|ābcīd|ābcīs|is, ere, cidi, cisum|
abdico|abdĭco=ābdĭco|17|||as, are|
abdico|abdīco2=ābdīco|19|ābdīx|ābdīct|is, ere, dixi, dictum|
abdo|abdo=ābdo|19|ābdĭd|ābdĭt|is, ere, didi, ditum|
abdomen|abdōmĕn=ābdōmĕn|7|ābdōmĭn||inis, n.|
abducillus|Abducillus=Ābducīllus|1|||i, m.|
abduco|abdūco=ābdūco|19|ābdūx|ābdūct|is, ere, duxi, ductum|
abeo|ăbĕo|23|ăbĭ|ăbĭt|is, ire, ii, itum|
aberro|ăberro=ăbērro|17|||as, are|
abhinc|ăbhinc=ăbhīnc|30|||adv.|
abhorrens|ăbhorrens=ăbhōrrēns|14|ăbhōrrēnt||entis|
abhorreo|ăbhorrĕo=ăbhōrrĕo|18|ăbhōrrŭ||es, ere, horrui, -|
abicio|ābĭcĭo|20|ābjēc|ābjēct|is, ere, abieci, abiectum|
abies|ăbĭēs|5|ăbĭēt||ietis, f.|
abigo|ăbĭgo|19|ăbēg|ăbāct|is, ere, egi, actum|
abitus|ăbĭtus|9|||us, m.|
abjicio|abjĭcĭo=ābjĭcĭo|20|ābjēc|ābjēct|is, ere, ieci, iectum|
abjuro|abjūro=ābjūro|17|||as, are|
ablego|ablēgo=ā̆blēgo|17|||as, are|
abluo|ablŭo=ā̆blŭo|19|ā̆blŭ|ā̆blūt|is, ere, lui, lutum|
abnego|abnĕgo=ābnĕgo|17|||as, are|
abnuo|abnŭo=ābnŭo|19|ābnŭ||is, ere, abnui|
aboleo|ăbŏlĕo|18|ăbŏlēv|ăbŏlĭt|es, ere, eui, itum|
abolitio|ăbŏlĭtĭo=ăbŏlĭtĭō̆|5|ăbŏlĭtĭōn||ionis, f.|
aborigines|Ăbŏrīgĭnes=Ăbŏrīgĭnĕs|5|Ăbŏrīgĭn||um, m. pl.|
aborior|ăbŏrĭor=ăbŏrĭŏr|28||ăbōrt|iris, iri, abortus sum|
abraham|Ābrăham=Ābrăhăm|30|||indecl., m.|
abripio|abrĭpĭo=ā̆brĭpĭo|20|ā̆brĭpŭ|ā̆brēpt|is, ere, ripui, reptum|
abrogo|abrŏgo=ā̆brŏgo|17|||as, are|
abrumpo|abrumpo=ā̆brūmpo|19|ā̆brūp|ā̆brūpt|is, ere, rupi, ruptum|
abruptum|abruptum=ā̆brūptŭm|4|||i, n.|
abs|abs=ābs|30|||prép. + abl.|
abscedo|abscēdo=ābscēdo|19|ābscēss|ābscēss|is, ere, cessi, cessum|
abscido|abscīdo=ābscīdo|19|ābscīd|ābscīs|is, ere, cidi, scisum|
abscindo|abscindo=ābscīndo|19|ābscĭd|ābscīss|is, ere, scidi, scissum|
abscondo|abscondo=ābscōndo|19|ābscōnd,ābscōndĭd|ābscōndĭt,ābscōns|is, ere, didi (di), ditum (sum)|
absens|absens=ābsēns|14|ābsēnt||entis|
absentia|absentĭa=ābsēntĭa|0|||ae, f.|
absida|absīda=ābsīda|0|||ae, f|
absidatus|absīdātus=ābsīdātus|11|||a, um|
absilio|absĭlĭo=ābsĭlĭo|21|ābsīlīv,ābsīlŭ||is, ire, ivi (ui)|
absimilis|absĭmĭlis=ābsĭmĭlĭs|14|ābsĭmĭl||e|
