A1|a|A| as an abbreviation||||||
a2|a|ā||||from, away from, out of |||
abactus|abactus|abāctus|||adj.|driven away, driven off, driven back, already turned towards dawn, restrained by |||
abacus|abacus|abacus| ī|m|| a table of precious material for the display of plate |||
abalienatio|abalienatio|abaliēnātiō| īnis|f||a transfer of property, sale, cession |||
abalieno|abalieno|ab-aliēnō| āvī, ātus, āre|||to convey away, make a former transfer of, sell, alienate |||
Abanteus|Abanteus|Abantēus|||adj.| of Abas (king of Argos): Argi, O. |||
Abantiades|Abantiades|Abantiadēs| ae|m|| a son or descendant of Abas (king of Argos), O. |||
abavus|abavus|abavus| ī|m||a grandfather's grandfather, an ancestor |||
abcido|abcido|(abcīdō)|a false spelling for abscīdō. |||ppropriate |||
Abdera|Abdera|Abdēra| ōrum|n|| a town of Thrace, proverbial for narrow-minded people |||
abdicatio|abdicatio|abdicātiō| ōnis|f||a formal laying down, voluntary renunciation, abdication |||
abdico1|abdico|ab-dicō| āvī, ātus, āre||||||
abdico2|abdico|ab-dīcō| dīxī, &mdash;, ere, in augury|||to forbid by an unfavorable omen, reject (opp. addico) |||
abditus|abditus|abditus|||adj.|hidden, concealed, secret, locked up, hidden beyond discovery, in ambush, mysterious, hidden in, buried, n., hidden places, abstruse matters |||
abdo|abdo|ab-dō| idī, itus, ere |||to put away, remove, set aside, to go away, betake oneself, to depart, to hide, conceal, put out of sight, keep secret, up to the barb, to cover with, let him rest, buried |||
abdomen|abdomen|abdōmen| inis|n|| the belly, abdomen: |||
abduco|abduco|ab-dūcō| dūxī, ductus, ere |||to lead away, take away, carry off, remove, lead aside: |||
Abella|Abella|Abella| ae|f|| a town of Campania, V. |||
abeo|abeo|ab-eō| iī, itūrus, īre ||| to go from, go away, go off, go forth, go, depart: |||
abequito|abequito|ab-equitō| āvī, &mdash;, āre|||to ride away (once): |||
aberam|aberam|aberam, abesse| see absum. ||||||
aberratio|aberratio|aberrātiō| ōnis|f||a relief, diversion |||
aberro|aberro|ab-errō| āvī, &mdash;, āre|||to wander out of the way, lose the way, go astray: |||
abfore|abfore|abfore, abforem| see absum. |||Y: |||
abhinc|abhinc|ab-hinc|||adv.| of time, ago, since, before now |||
abhorrens|abhorrens|abhorrēns| ntis||adj.|incongruous, inappropriate |||
abhorreo|abhorreo|ab-horreō| uī, &mdash;, ēre|||to shrink back from, have an aversion for, shudder at, abhor: |||
abicio|abicio|abiciō (a usu. long by position) or abiiciō| iēcī, iectus, ere |||to throw from one, cast away, throw away, throw down, has given up the fight, to many in your behalf, dash to the earth, he threw himself down as if lifeless, throw it away, to discharge, cast, throw, fling, to cast off, throw away, give up, must be got rid of, to throw off, cast aside, give up, abandon, to resign one's candidacy, I reject the technical defence, nonsense apart, To cast down, degrade, humble, lower, se, to give up in despair, To throw away, sell for a trifle, sell cheap |||
abiecte|abiecte|abiectē|||adv.|dispiritedly, abjectly, lowly, meanly |||
abiectio|abiectio|abiectiō| ōnis|f||a casting down |||
abiectus|abiectus|abiectus|||adj.|low, crouching, dying, low, common, without elevation, low, common, mean, Cast down, dispirited, despondent, as a gift to Brutus in his distress, Contemptible, vile, low |||
abiegnus|abiegnus|abiēgnus|||adj.|of fir-wood, deal, the wooden horse before Troy |||
abies|abies|abiēs| etis|f|| the fir-tree, silver-fir: |||
abigo|abigo|abigō| ēgī, āctus, ere |||to drive away, drive off, to drive away, carry off, to force a birth, to drive away, repel, expel |||
abiicio|abiicio|abiiciō| see abicio.|||Ō|||
abin'|abin'|abin'| see abeo. |||LY|||
abitio|abitio|abitiō| ōnis|f||a departure |||
abitus|abitus|abitus| ūs|m||a departure, removal, An outlet, way of exit, passage out |||
abiudico|abiudico|ab-iūdicō| āvī, ātus, āre, of a judge or tribunal|||to give judgment against, deprive by a judicial decision, adjudge away: |||
abiungo|abiungo|ab-iungō| iūnxī, iūnctus, ere|||to unyoke, loose from harness: |||
abiuro|abiuro|ab-iūrō| āvī, ātus, āre|||to deny on oath, abjure: |||
ablatus|ablatus|ablātus||||P. of aufero. |||
ablegatio|ablegatio|ablēgātiō| ōnis|f||a sending away, sending off |||
ablego|ablego|ab-lēgō| āvī, ātus, āre|||to send off, send out of the way, banish, send into exile: |||
abligurrio|abligurrio|ab-ligurriō (-ūriō)| īvī, &mdash;, īre|||to consume in dainty living, waste in feasting (rare): |||
abludo|abludo|ab-lūdō| &mdash;, ere|||to play out of tune. |||
abluo|abluo|ab-luō| luī, lūtus, ere|||to wash away, remove by washing: |||
abnego|abnego|ab-negō| āvī, ātus, āre|||to refuse, deny (poet.): |||
abnormis|abnormis|abnōrmis| e||adj.|deviating from rule, irregular, of no school |||
abnuo|abnuo|ab-nuō| nuī, nuitūrus, ere|||to refuse by a sign, deny, refuse, reject, decline: |||
abnuto|abnuto|abnūtō| &mdash;, &mdash;, āre|||to forbid with emphasis, forbid approach to thee |||
aboleo|aboleo|aboleō| olēvī, olitus, ēre |||to destroy, abolish, efface, put out of the way, annihilate, to destroy the, flesh |||
