a|a_ : prep with abl
ab|ab : prep with abl
abacus|abacus, abaci_ : m
abalienatio|abalie_na_tio_, abalie_na_tio_nis : f
abalieno|abalie_no_, abalie_na_re, abalie_na_vi_, abalie_na_tum : v1
abavus|abavus, abavi_ : m
abdicatio|abdica_tio_, abdica_tio_nis : f
abdico|abdico_, abdica_re, abdica_vi_, abdica_tum : v1
abdo|abdo_, abdere, abdidi_, abditum : v3
abdomen|abdo_men, abdo_minis : n
abduco|abdu_co_, abdu_cere, abdu_xi_, abductum : v3
abeo|abeo_, abi_re, abi_vi_/abii_, abitum : v5
aberratio|aberra_tio_, aberra_tio_nis : f
aberro|aberro_, aberra_re, aberra_vi_, aberra_tum : v1
abhinc|abhinc : adv
abhorreo|abhorreo_, abhorre_re, abhorrui_ : v2
abicio|abicio_, abicere, abie_ci_, abiectum : v3
abiegnus|abie_gnus, abie_gna, abie_gnum : a
abies|abie_s, abietis : f
abigo|abigo_, abigere, abe_gi_, aba_ctum : v3
abitus|abitus, abitu_s : m
abjecte|abjecte_ : adv
abjectus|abjectus, abjecta, abjectum : a
abjudico|abju_dico_, abju_dica_re, abju_dica_vi_, abju_dica_tum : v1
abjungo|abjungo_, abjungere, abju_nxi_, abju_nctum : v3
abjuro|abju_ro_, abju_ra_re, abju_ra_vi_, abju_ra_tum : v1
ablegatio|able_ga_tio_, able_ga_tio_nis : f
ablego|able_go_, able_ga_re, able_ga_vi_, able_ga_tum : v1
abluo|abluo_, abluere, ablui_, ablu_tum : v3
abnego|abnego_, abnega_re, abnega_vi_, abnega_tum : v1
abnuo|abnuo_, abnuere, abnui_, abnu_tum : v3
aboleo|aboleo_, abole_re, abole_vi_, abolitum : v2
abolesco|abole_sco_, abole_scere, abole_vi_ : v3
abolitio|abolitio_, abolitio_nis : f
abominor|abo_minor, abo_mina_ri_, abo_mina_tus sum : v1 dep
aborior|aborior, abori_ri_, abortus sum : v4 dep
abortio|abortio_, abortio_nis : f
abortivus|aborti_vus, aborti_va, aborti_vum : a
abortus|abortus, abortu_s : m
abrado|abra_do_, abra_dere, abra_si_, abra_sum : v3
abripio|abripio_, abripere, abripui_, abreptum : v3
abrogatio|abroga_tio_, abroga_tio_nis : f
abrogo|abrogo_, abroga_re, abroga_vi_, abroga_tum : v1
abrumpo|abrumpo_, abrumpere, abru_pi_, abruptum : v3
abruptio|abruptio_, abruptio_nis : f
abruptus|abruptus, abrupta, abruptum : a
abs|abs : prep with abl
abscedo|absce_do_, absce_dere, abscessi_, abscessum : v3
abscessus|abscessus, abscessu_s : m
abscido|absci_do_, absci_dere, absci_di_, absci_sum : v3
abscindo|abscindo_, abscindere, abscidi_, abscissum : v3
abscisus|absci_sus, absci_sa, absci_sum : a
abscondo|abscondo_, abscondere, abscondi_/abscondidi_, absconditum : v3
absens|abse_ns, absentis : a
absentia|absentia, absentiae : f
absilio|absilio_, absili_re, absilii_/absilui_ : v4
absimilis|absimilis, absimile : a
absisto|absisto_, absistere, abstiti_ : v3
absolute|absolu_te_ : adv
absolutio|absolu_tio_, absolu_tio_nis : f
absolutus|absolu_tus, absolu_ta, absolu_tum : a
absolvo|absolvo_, absolvere, absolvi_, absolu_tum : v3
absonus|absonus, absona, absonum : a
absorbeo|absorbeo_, absorbe_re, absorbui_/absorpsi_, absorptum : v2
absque|absque : prep with abl
abstemius|abste_mius, abste_mia, abste_mium : a
abstergeo|abstergeo_, absterge_re, abstersi_, abstersum : v2
absterreo|absterreo_, absterre_re, absterrui_, absterritum : v2
abstinens|abstine_ns, abstinentis : a
abstinenter|abstinenter : adv
abstinentia|abstinentia, abstinentiae : f
abstineo|abstineo_, abstine_re, abstinui_, abstentum : v2
absto|absto_, absta_re, abstiti_, abstitum : v1
abstraho|abstraho_, abstrahere, abstra_xi_, abstractum : v3
abstrudo|abstru_do_, abstru_dere, abstru_si_, abstru_sum : v3
abstrusus|abstru_sus, abstru_sa, abstru_sum : a
absum|absum, abesse, a_fui_ : v5
absumo|absu_mo_, absu_mere, absu_mpsi_, absu_mptum : v3
absurdus|absurdus, absurda, absurdum : a
abundanter|abundanter : adv
abundantia|abundantia, abundantiae : f
abunde|abunde_ : adv
abundo|abundo_, abunda_re, abunda_vi_, abunda_tum : v1
abusus|abu_sus, abu_su_s : m
abutor|abu_tor, abu_ti_, abu_sus sum : v3 dep
ac|ac : conj
academia|acade_mi_a, acade_mi_ae : f
academicus|acade_micus, acade_mica, acade_micum : a
acalanthis|acalanthis, acalanthidis : f
acanthus|acanthus, acanthi_ : m
accedo|acce_do_, acce_dere, accessi_, accessum : v3
accelero|accelero_, accelera_re, accelera_vi_, accelera_tum : v1
accendo|accendo_, accendere, accendi_, acce_nsum : v3
accenseo|acce_nseo_, acce_nse_re, acce_nsui_, acce_nsum : v2
accensus|acce_nsus, acce_nsi_ : m
accentus|accentus, accentu_s : m
acceptio|acceptio_, acceptio_nis : f
acceptus|acceptus, accepta, acceptum : a
accessio|accessio_, accessio_nis : f
accessus|accessus, accessu_s : m
accido|acci_do_, acci_dere, acci_di_, acci_sum : v3
accido|accido_, accidere, accidi_ : v3
accingo|accingo_, accingere, acci_nxi_, acci_nctum : v3
accio|accio_, acci_re : v4
accipio|accipio_, accipere, acce_pi_, acceptum : v3
accipiter|accipiter, accipitris : m
accitus|acci_tus, acci_tu_s : m
acclamatio|accla_ma_tio_, accla_ma_tio_nis : f
acclamo|accla_mo_, accla_ma_re, accla_ma_vi_, accla_ma_tum : v1
acclaro|accla_ro_, accla_ra_re, accla_ra_vi_, accla_ra_tum : v1
acclinis|accli_nis, accli_ne : a
acclino|accli_no_, accli_na_re, accli_na_vi_, accli_na_tum : v1
acclivis|accli_vis, accli_ve : a
acclivus|accli_vus, accli_va, accli_vum : a
accola|accola, accolae : m/f
accolo|accolo_, accolere, accolui_, accultum : v3
accommodatio|accommoda_tio_, accommoda_tio_nis : f
accommodatus|accommoda_tus, accommoda_ta, accommoda_tum : a
accommodo|accommodo_, accommoda_re, accommoda_vi_, accommoda_tum : v1
accommodus|accommodus, accommoda, accommodum : a
accredo|accre_do_, accre_dere, accre_didi_, accre_ditum : v3
accresco|accre_sco_, accre_scere, accre_vi_, accre_tum : v3
accretio|accre_tio_, accre_tio_nis : f
accubitio|accubitio_, accubitio_nis : f
accubo|accubo_, accuba_re, accubui_, accubitum : v1
accumbo|accumbo_, accumbere, accubui_, accubitum : v3
accumulator|accumula_tor, accumula_to_ris : m
accumulo|accumulo_, accumula_re, accumula_vi_, accumula_tum : v1
accuratio|accu_ra_tio_, accu_ra_tio_nis : f
accuratus|accu_ra_tus, accu_ra_ta, accu_ra_tum : a
accuro|accu_ro_, accu_ra_re, accu_ra_vi_, accu_ra_tum : v1
accurro|accurro_, accurrere, accurri_/accucurri_, accursum : v3
accursus|accursus, accursu_s : m
accusabilis|accu_sa_bilis, accu_sa_bile : a
accusatio|accu_sa_tio_, accu_sa_tio_nis : f
accusator|accu_sa_tor, accu_sa_to_ris : m
accusatorius|accu_sa_to_rius, accu_sa_to_ria, accu_sa_to_rium : a
accuso|accu_so_, accu_sa_re, accu_sa_vi_, accu_sa_tum : v1
acer|acer, aceris : n
acer|a_cer, a_cris, a_cre : a
acerbitas|acerbita_s, acerbita_tis : f
acerbo|acerbo_, acerba_re, acerba_vi_, acerba_tum : v1
acerbus|acerbus, acerba, acerbum : a
acernus|acernus, acerna, acernum : a
acerra|acerra, acerrae : f
acervatim|acerva_tim : adv
