|0
interj.|65
prép.|38
avec|10
abl.|29
indécl.|269
m.|12547
ae,|6713
f.|13203
a,|10499
um|10560
ōnis,|3404
ōris,|1582
ūs,|834
i,|6609
n.|5522
ĭdis,|446
āre|1811
ĕre|856
ĕre,|1671
ēgi,|15
actum|15
ēs,|581
ōrum,|1251
āre,|1900
āvi,|1481
ātum|1670
sĭnus,|1
adv.|3079
ădis,|104
ēre|259
um,|336
is,|1107
antis,|64
ăcis,|37
et|185
indécl.,|1
ātis,|700
īri|6
m|33
īcis,|337
dixi,|3
dictum|10
dĭdi,|21
dĭtum|23
ĭnĭs,|186
duxi,|10
ductum,|1
tr.|25
ārum,|555
ĭi,|2163
ou|224
Ăbellae,|1
impér.|12
de|181
abemo,|1
inusité|80
īre,|250
īvī|6
,|1509
ĭtum,|3
intr.|13
āvi|139
ĭdos,|7
m. |42
impers.|30
entis|348
ēre,|327
horrŭi|4
abjēci,|2
abjectum|2
ĕuntis|3
ĕtis,|9
junxi,|10
junctum|11
f. |46
īvi|93
lŭi,|14
lūtum|7
ōtis,|19
e|2157
nŭi,|3
nŭĭtum|1
fēci,|61
factum|47
ēvi,|7
ĭtum|32
lēvi|1
arch.|328
āri,|290
ātus|278
sum|508
īri,|30
ăbortus|1
isci|2
abrae,|1
rāsi,|8
rāsum|8
rĭpŭi,|10
reptum|21
rōsi,|4
rōsum|4
a|195
rūpi,|11
ruptum|11
ĭum,|241
cessi,|15
cessum|13
cīdi,|11
cīsum|11
scĭdi,|8
scissum|8
abscondĭdi|1
abscondĭtum|1
ĭnis,|300
entis,|43
part.-adj.|2
absum|1
līvi|2
it,|1
etc.|18
e |4
mieux|1
apsis,|1
īdis,|3
abstĭtī|2
ĕri,|29
solvi,|5
sŏlūtum|3
bŭi,|11
sorptum|2
is|108
idis,|5
puli,|8
pulsum|12
tersi,|6
tersum|6
terrŭi,|5
terrĭtum|3
ācis|60
tentum|18
traxi,|12
tractum|12
trūsi,|10
trūsum|11
compar.|76
abstruse,|1
ăbesse,|1
āfŭi|1
āfŭtūrus,|1
sumpsi,|10
sumptum|10
antis|227
+|63
ăbūti,|1
ăbūsus|1
Ăbȳdus,|1
flumen,|4
i |1
ŏn|62
ānis,|3
cessum,|2
qqf.|18
cendi,|2
censum|5
accensum|1
adj.|143
part.|20
passé|11
accipio. |1
ītum|100
um |33
acĭdentĕr,|1
īvi,|27
cinxi,|9
cinctum|9
ŭi,|9
[ad|1
cano)|1
cēpi,|12
ceptum|10
-|11
tris,|16
Accĭa,|1
sī,|1
ōvi,|3
accŏlŭi,|2
accultum|2
ātum,|24
congessi|2
dĭdĭ,|2
crēvi,|17
crētum|17
bĭtum|7
=|86
accuravero|1
curri|5
āri|229
ăcui|1
ăcĕris,|1
cris,|5
cre|4
i|44
ăcŭi|2
ārum|23
itis|2
ae|143
ădis|16
ĭdis|44
ontis,|57
Arn.|1
Nat.|1
2,|4
62;|1
untis,|25
ĭdos|1
ei|25
ădos|1
ēī,|1
ōrum|29
[acinus}|1
ĕris,|55
aclydis,|1
f|21
ŏnis,|112
civitas,|4
quĭēvi,|4
quĭētum,|2
quīsīvī,|8
quīsītum|8
ătis,|180
lacus,|10
saxa,|2
acra,|1
acrum|1
Actēs,|1
actēs,|1
plur.|80
ŏris,|51
Naso,|1
ii,|452
adv|20
ăcŭi,|1
ăcūtum|1
pĕrŭi,|2
pertum|4
ădārŭi|1
īre|194
auxi,|2
auctum|2
adbĭbi|1
--->|2
adclaraveris,|1
adclaro,|1
ācis,|21
dictum,|1
dĭdĭci|5
dĭdī,|1
dĭtum,|1
cŭi,|8
doctum|7
ductum|21
adducte,|1
ēdi,|4
ēsum|4
ĭpis,|1
bra,|13
brum|13
ferre,|19
attŭli|2
allātum|2
fectum|14
fixi,|13
fixum|14
finxi,|7
fictum|7
f.,|17
flixi,|5
flictum|6
fluxi,|8
fluxum|8
adfāris,|1
adfāri,|1
adfātus|1
adfŏrem|1
fractum|13
frictum|5
