|0
Interj.|34
Praep.|16
a,|7629
um|7064
ōnis,|3015
f.|9459
ōris,|1539
m.|7509
Us,|117
ī,|4689
n.|3853
indecl.|72
ere|1881
Avī,|1563
Atum,|1397
Are|1681
Adv.|2888
āre|1469
ae,|4666
=|604
avi|7
amita|1
#NOM|83
?|83
avia|1
avunculus|1
Corp.|12
inscr.|11
Lat.|13
1,|17
1198),|1
I,|114
avus|1
āre,|44
I)|1207
ōrum,|532
īcis,|58
dīxī,|14
dictum,|12
dinis,|32
um,|729
PAdj.|31
didī,|21
ditum,|20
minis,|45
dūxī,|23
ductum,|22
elis,|1
iī,|1315
itum,|32
Ire|150
ēre|191
uī,|92
Ere,|46
iēcī,|15
iectum,|15
etis,|5
ūs,|561
ātum,|40
ēgi,|2
Actum,|13
Adv.,|34
a)|32
iūnxī,|9
iūnctum,|10
ere,|331
pl.|25
Ivī|62
ἀπᾴδειν|1
luī,|9
lūtum,|6
matertera|1
Are,|259
ōtis,|14
nepos|1
is,|502
neptis|1
e|2002
ātis,|663
nuī,|3
nuitūrus,|1
fēcī,|52
factum,|36
Evī,|3
itum|1
lēvī,|14
Atus|278
sum,|456
Arī,|28
ortus|5
Irī,|8
scī|3
Ivī,|59
Onis,|71
rāsī,|8
rāsum,|9
ripuī,|9
reptum,|9
rōsī,|7
rōsum,|6
rūpī,|11
ruptum,|12
cessī,|18
cessum,|15
cīdī,|14
cīsum,|14
scidī,|8
scissum,|8
Partic.|61
condidī|1
dare|5
entis,|100
īre|166
stitī,|18
stitum,|2
erī,|10
solvī,|6
solūtum,|7
antis|87
buī,|19
Ere|252
Err|58
:509|57
tersī,|6
tersum,|5
terruī,|6
territum,|6
Acis|50
tinuī,|9
tentum,|14
tollo,|1
Ps.|3
Ambr.|1
serm.|1
18,|3
3.|3
trāxī,|13
trāctum,|1
trūsī,|5
trūsum,|7
Compar.|34
Afuī,|1
Afutūrus,|1
abesse|1
inis,|385
sūmpsī|1
idis|102
tis|10
abundans|1
Usus|3
Utī|4
ēs,|325
idis,|160
I|22
on|172
die|1
röm.|1
Flurgöttin|1
tr.|46
cendī,|3
cēnsum,|5
dentis,|4
cidī,|10
cinxī,|1
cīnctum,|9
ūi,|1
cēpī,|11
ceptum,|10
tris,|11
nōvi,|4
nitum,|3
coluī,|7
um.|2
crēvī,|16
crētum,|14
ium,|84
accubo|1
accubitio|1
cūdī,|4
cūsum,|3
cubuī,|11
cubitum,|7
āvi,|182
Arī|373
acuī,|7
cris,|7
cre|6
eris,|58
Adj.|13
ārum,|284
ae|127
itis|6
Es|4
ontis|24
untis|1
adis,|38
ēi,|15
is|213
ī|27
ydis,|3
quiēvī,|4
quiētum,|4
sīvī,|2
sītum,|2
agrifolius),|1
vōcis|1
atis,|186
onis|24
on,|3
Nom.|1
Plur.|4
oe|1
ἀκτινοειδής|1
oris,|37
aquarius|1
no.|9
II,|5
A,|1
2|7
acūtum,|1
ἀναγιγνώσκω|1
tidis|21
Solin.|2
52,|1
57),|1
peruī,|7
pertum,|7
Aruī,|6
auxī,|3
auctum,|2
bibī,|8
Irī|33
ācis,|19
didicī,|7
Edī,|9
Esum,|4
dipis,|1
c.|118
haesī,|8
haesum,|5
balis,|2
bitum,|8
Itum,|52
Ari|56
īgis,|6
Egī,|12
f.,|100
Gloss.|17
V,|3
344,|1
19|1
Emī,|8
emptum,|1
Etum,|1
gredī|20
vēnī,|15
ventum,|16
adeptus|1
adipiscī|1
iūnxi,|1
iūvī,|2
iūtum,|1
iuvāre|1
Oris,|21
mānsit|1
mēnsus|7
strī,|8
intr.|101
e,|76
mīscuī,|4
mīxtum|2
mīsī,|24
missum,|24
Itus|14
mōvī,|12
mōtum,|14
ōnis|37
1)|13
olēvī,|2
ultum,|1
eī,|47
nidis|3
Verg.|3
ecl.|1
10,|4
18.|1
Ov.|1
met.|4
532.|1
Hygin.|1
fab.|2
58.|1
Myth.|1
2,|14
128:|1
antis,|56
entis|150
m.,|133
<B>adultera</B>,|1
Icis|9
ēre,|16
ussī,|6
ustum,|2
Atum|10
vēxī,|13
vectum,|13
vertī|18
āvit,|2
vīxī,|7
volvī,|12
volūtum,|12
ficis,|12
tis,|8
gra,|8
grum|8
eī|38
ipis,|1
ōpis|3
ānos,|1
pedis|44
Aenus|1
n|2
Aequīcolī|1
</B>|11
aris|1
Varr.|3
sat.|7
Men.|9
288),|1
āeris|1
fera,|149
ferum|148
ginis,|9
aeris,|1
aris,|13
aestimatio|1
eris|5
bra,|9
brum|8
attulī|1
fectum,|12
fīxī,|11
fīxum,|12
finxī,|2
fictum,|6
xī,|1
xum,|1
flīxī,|4
flīctum,|4
flūxī,|13
frāctum,|12
fricuī,|6
fricātum,|3
fulsī,|12
fūdī,|17
fūsum,|18
matos,|1
ēs|15
agrī,|1
polidos|1
gessī,|12
gestum,|13
gerere|1
gressus|18
gidis|1
ontis,|17
Agonalia|1
nātus|9
nāscī|9
agnomen|1
nōvī,|5
ium|12
Ag.|1
porta|1
āri|9
Adi.|159
comp.|1
Gnaeus|1
Iulius|3
ācis|15
PAdi.|462
Verb.|1
defect.|3
Alemannī|1
Orum,|15
Oris|20
Celsus|1
Albinovanus|1
iī|21
es,|19
dontis,|2
ānis|3
ae.|14
το|3
onis,|52
drī,|11
alsī,|2
gera,|57
gerum|57
aliquae,|1
aliquod|1
quaecumque,|2
quodcumque|2
quaelibet,|2
quodlibet|2
aliqua,|1
aliquid|1
<B>aliqua-vīs</B>,|1
<B>aliquid-vīs</B>|1
Numer.|11
indef.|1
alid|1
200,|1
86),|1
allium),|1
ud|1
lāpsus|15
lābī|9
hallēc),|1
Ecis,|1
Demin.|30
lēgī,|11
lēctum,|14
ἀλληγορειν|1
icis,|46
pellex|1
in|8
pede|1
iāticusae,|1
lexī,|2
lectum,|3
līsī,|7
līsum,|7
allino|1
litum,|10
adlocūtus|1
alloquī|1
lūxī,|15
lūsī,|10
aluī,|1
altum|1
ἀλογοῦµαι|1
alte|1
gradiens|1
altus|1
tera,|3
terum|3
hyoscyamus|1
icis|7
duplex|1
<B>alter-utra|1
alterutraque,|1
alterutrumque|1
frontis|5
assiste|1
altrim|1
secus|1
n.,|53
σύµφυτον|1
perdicium|1
Gaius|1
chamaemelon|1
mānsī,|5
a|69
manu|1
servus|1
amasius|1
ūntis|5
tra,|21
trum|19
rīgis,|2
īcis|4
O|1
umbo,|1
LL.|1
5,|7
115.|1
Cassiod.|3
hist.|4
4.|2
ἀσκοῦ|1
στόµα|1
icuī|1
amice,|1
Pacuv.|4
131.|1
Plaut.|14
Pers.|1
255;|1
Ἀµίνειος),|1
ātus,|85
tidis,|28
plexus|3
plectī|3
pycis|1
āmunclae,|1
Amunculae),|1
Arum,|3
Coni.|34
eōs,|2
matos|1
i,|17
cipitis|9
convalles|1
vel|1
arborum|1
intervalla,|1
Paul.|11
ex|11
Fest.|13
11,|2
12.|5
Placid.|1
gloss.|3
<p>|1
ānun,|1
<B>-geōnēus</B>|1
</I>Us,|1
pedis,|11
στενωπός|1
angustia|1
ālis,|12
Onis|9
nexuī,|4
nexum,|4
nīxus|3
anniversarius|1
επονοµάζω|2
Abl.|8
U,|7
trīcis,|324
quīsīvī,|5
quīsītum,|5
seris,|1
χήν|1
ceptum|1
tulī,|9
lātum,|8
ferre,|5
προποδισµός|1
antilena|1
ōris|11
oris|18
προκατάληψις|1
posuī,|19
situm,|9
Otis|2
ē,|6
vēni,|2
ōn,|8
acis,|22
17,|2
4|9
›antioper|1
προ|1
τούτου|1
loca,|1
quae|3
quattuor|2
punctis|1
cardinalibus|1
aequaliter|1
distant,|1
Firm.|1
math.|1
2.|9
praef.|2
p.|10
15.|1
lin.|2
23|2
matis,|23
stitis,|2
stāre|3
ontos,|2
trī,|23
uris,|9
compesce,|1
22,|1
17.|2
εκβάλλω|1
aprī,|1
prī,|3
picis,|6
dracontium|1
acoron,|1
Apul.|6
herb.|2
6.<B>|1
Aphrodītē</B>,|1
aptus|1
apiscī|1
ἀπλυσίαι|1
nidis,|2
itis,|21
itūrus,|2
pulī,|9
pulsum,|10
v.|27
pendī,|9
pēnsum,|10
fem.|4
pinxī,|1
pictum,|5
āris,|18
und|1
compar.|14
</I>Avī,|2
προςολοφύρεσθαι|1
positum,|19
prehendī,|3
prehēnsum,|3
pressī,|9
pressum,|9
punctus,|1
ga,|1
hapsis),</I>|1
sīdis,|1
Acc.|11
sīda,|1
plur.|5
sīdas,|1
ἀµπελόφυλλα|1
206,|1
15|1
</I>I,|4
podis,|9
legis|1
ferī,|13
<B>aquiminārium</B>,|1
bum|1
tōn,|1
Es,|9
Arachosia,|1
Isid.|3
14,|5
3,|9
8|2
ūs|7
cadis,|1
cuī,|10
tyris,|1
tricliniarcha|1
arcuatura,|1
Vitell.|1
poët.|1
Arsī,|4
Arsūrus,|1
cere|1
</I>|7
uitūrus,|1
pidum|2
mantis,|2
ōdis,|3
custos|1
armorum|1
rēpsī,|9
Aridaeus),|1
rīsī,|5
rīsum,|5
rēxī,|9
rēctum,|8
ūntis,|9
senis|2
midis.|1
arcis,|1
artaena),|1
assis,|2
Asc.|1
lacus|1
axilla,|1
scendī,|5
scēnsum,|6
ascīvī,|1
ascītum,|1
scrīpsī,|13
scrīptum,|13
επιγράφω,|1
era,|11
erum,|1
spersī,|5
spersum,|5
tātis,|1
spēxī,|12
spectum,|12
intr.:|16
A)|26
pidis|4
n.]|1
sensī,|2
sēnsum,|6
sentīre|1
secūtus|9
sequī|6
seruī,|9
sertum,|10
sēvī,|11
ius,|1
essedarius|1
sēdī,|17
sessum,|17
sēdi,|4
siluī,|7
astitī|1
suēvī,|6
suētum,|6
sūctum,|3
affuī|1
sūmpsī,|6
sūmptum,|7
suī,|7
