abducillus|Abducillus=Ābducīllus|1|||i, m.
acerronia|Acerronia=Acērronĭa|0|||ae, m.
adclivis|adclīvis=ādclīvĭs|14|ādclīv||e
adgandestrius|Adgandestrius=Ādgāndēstrĭus|1|||i, m.
adpendix|adpendix=ādpēndīx|5|ādpēndĭc||icis, f.
advesperasco|advespĕrasco=ādvēspĕrāsco|19|ādvēspĕrāv||is, ere
advesperesco|advespĕresco=ādvēspĕrēsco|19|ādvēspĕrāv||cf. aduesperasco
aebutia|Aebūtĭa=Āebūtĭa|0|||ae, f.
aeduus|Aedŭus=Āedŭus|1|||cf. Haedui
aelia|Aelia=Āelĭa|0|||ae, f.
aesapus|Aesapus=Āesapus|1|||i, f.
afrania|Afrania=Ā̆franĭa|0|||ae, f.
africum|afrĭcum=ā̆frĭcŭm|4|||i, n.
agerinus|Agerinus|1|||i, m.
ais|aĭs=ăĭs|30|||vb.
akoinoetoi|akoinoetoi=akŏinōetŏi|30|||mot grec
alliania|Alliānia=Āllĭānĭa|0|||ae (Regio)
alumentum|ălŭmentum=ălŭmēntŭm|4|||i, n.
amabo|ămābō̆|30|||interj.
amphistomus|amphistŏmus=āmphīstŏmus|11|||a, um
anagnosta|ănăgnosta=ănāgnōsta|0|||ae, m.
andocumborius|Andocumborius=Āndocūmborĭus|1|||i, m.
annia|Annia=Ānnĭa|0|||ae, f.
anteius|Anteius=Āntējus|1|||i, m.
anticula|antĭcŭla=āntĭcŭla|0|||cf. aniticula
antiope|Antiŏpe=Āntĭŏpe|102|||es, f.
antyllius|Antyllius=Āntȳllĭus|1|||i, m.
aorgesias|aorgesias=ăōrgesĭas|30|||inv.
ap|Ap|30|||inv.
aponius|Aponius=Aponĭus|1|||i, m.
appuleia|Appŭleia=Āppŭlēja|0|||ae, f.
apr|Apr=Ā̆pr|30|||contr.
argonauta|Argŏnauta=Ārgŏnāuta|0|||ae, m.
argyranchen|argyranchen=ārgyrānchen|30|||inv.
armamentum|armāmentum=ārmāmēntŭm|4|||i, n.
arpineius|Arpīneius=Ārpīnējus|1|||i, m.
