|742
ōnis|12556
indecl.|19
indecl. m.|2
ōris|5811
ĭdis|1668
f.|6
īnis|20
ădis|381
is|280
antis|204
ăcis|117
ātis|2428
īcis|1215
ĭnĭs|148
ōtis|79
ĭnis|1061
minis|30
is ou idis|4
inis|424
idis|308
ānis|21
entis|191
dentis|1
tis|111
collat. form of accubitio.|1
idis or idos|1
ădis (ădos)|4
ĭdis (ĭdos)|17
untis|87
ĭdos|16
ĭdos (ĭdis)|1
ădis and ădos|1
ădos (ădis)|1
adis|75
ĕris|113
eris|54
ўdis|7
aclydis|1
ydis|14
ŏnis|305
cris|5
dinis|24
ătis|592
atis|228
onis|93
tidis|47
Solin. 52|1
ŏris|132
ācis|95
ĭgis|16
īgis|15
see admixtio|1
ŏris and ōris|1
ĭdis (acc. -ida)|3
ntis|25
Icis|4
āre|1
aeantis|1
fĭcis|12
ĭcis|181
ficis|9
iădis|1
ō̆nis|4
ōpis|30
opis|15
ānos|2
anos|1
ĭdis ĭdos|2
ĭdis or ĭdos|6
ĭdis (ĭdis)|1
ginis|7
ăris|37
aris|33
is (acc. Aesim)|1
Aegis (Aegos)|1
matos|2
is et i|7
i (is)|2
oris|68
pĕdis|29
ĕdis|43
pedis|33
gidis|2
ontis|211
ētis|88
prop. written agri cultio|1
is (ĭdis)|21
ĭi|11
m.|6
ī|5
Ajācis|1
is;|1
is (Ălăbōn|1
dontis|2
āntis|2
ēcis|22
alecis|3
see allec.|1
is ou ĭdis|20
ae|62
hallēc)|1
ăgis|11
ŏgis|1
ogis|1
ĕcis|8
is or ĕi|1
is (ei)|1
eī|1
icis|120
entis f.|1
ĭtis|48
āmĭtis|1
itis|24
ўcis|4
ycis|14
pycis|1
is or eos|2
is (eos)|4
eōs|2
ătis (ătos)|2
-atos|1
ītĭdis|7
-geōnēus|1
like sanguen for sanguis|1
edis|7
#NOM ?|6
trīcis|323
nidis|5
better separately|1
ōnis ou Antiphōn|1
ōntis|15
ōrum|27
matis|23
is and ae|1
ae ou is|12
is and ĭdis|8
is et ĭdis|7
Aphantis|1
antos|1
āris|64
ĕgis|3
ĕgis et ĭcis|1
aquilegis (qqf. aquilicis)|1
legis|1
ou arepennis|1
onis.|1
i|14
i (archĭdĭācōn|1
yris|10
tyris|1
like arquus for arcus|1
mantis|3
ōdis|7
see arcitenens.|1
ou arra|1
ĕnis|5
senis|1
midis.|1
(axio)|1
Asidis (acc. Asida) f.|1
actis|16
ănactis|1
īdis|15
tacis|1
lidis|4
plĭcis|2
plicis|2
ēnis|41
enis|4
gēnis|1
ĭdis (Attin|1
ўos|4
ys ou yis|1
yos|3
acis|28
ingis|12
īcis [aurum + vestio]|1
(aurīgo)|1
ōnis or ūs|1
alis|9
ōnis (qqf. ōnos)|1
ālis|84
idos|10
ūcis|6
vitis|8
is (-ĭdis)|1
cidis|2
ȳ̆cis|1
indecl. (Beelzĕbūl|1
ūlis|5
ontis (Bellĕrŏphontēs|1
phontis|1
Cato. (apocope)|1
I) = 2. bibo no. II|1
lancis|3
ancis|1
ātris|1
tris|24
Oris m.|2
aris (Bocchor|1
ŭdis|3
udis|1
ȳcis|8
itĭdis et itis|1
bōcis|3
ĭdis ou ĭdos|10
ae (bryoniăs|1
n.|4
Onis|46
dis|7
aedis|2
pĭcis|2
ōris m.|1
brīcis|1
midis|2
ŏnis et ŏnos|5
ŏnis ou ŏnos|3
Chalcēdon)|1
is (acc. -im|1
ae (callistrūthis|1
trĭchos|2
tricis|6
is ae|2
is (-ae) m.|1
is f. (cămēlŏpardălus ou cămēlŏpardus|1
ertis|2
ertis (Camertinus|1
ēris|100
bis|2
species stativi auguril|1
pidis|5
\raise0.1em\hbox{ĭ|1
ii|5
ōnis (cāpus|1
īcis. f.|1
Cāris|2
ricis|1
ridis|6
navis|1
ĭnis f.|1
is (acc. cataphasin)|1
(cōlis)|1
cōlēs)|1
ŏpis|27
ōcis|10
fistula|1
-Eius|1
ae or is|1
tītidis|1
ĭdis (idos)|5
ontos|1
