->apsoros|absoros
LS|
GG|Absoros|Absoros||f.||île de l'Adriatique [Ossero]|Absoros|
GJ|Absoros|Absoros|f.|île de l'Adriatique [Ossero].
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accanto|adcanto
LS|
GG|adcanto|adcanto|āre||intr.|int., chanter auprès de [dat.]|accanto|adcanto
GJ|adcanto|adcanto|āre|chanter (auprès de qqn, alicui).
Ge|
FG|
Lw|
YO|
PO|
WW||||
->acclaro|adclaro
LS|adclaro|adclāro|āvi, ātum, 1||v. a.|to make clear, evident, to show, make known;|acclaro|(
GG|adclaro|adclāro|āvi, āre||tr.|et clarus), tr., rendre clair, faire voir clairement|acclaro|adcl-
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW|||adclaro, adclaravi|adclaro, adclaratum
->accognosco|adcognosco
LS|
GG|adcognosco|adcognosco|ōvi, ĭtum, ĕre||tr.|tr., reconnaître|accognosco|adcogn-
GJ|adcognosco|adcognosco|ĕre, ōvi, ĭtum|- tr. - reconnaître.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accongero|adcongero
LS|adcongero|adcongĕro|essi, estum, 3||v. a.|to bear, bring to|accongero|(
GG|
GJ|adcongero|adcongĕro|ĕre, congessi|- tr. - entasser.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accredo|adcredo
LS|adcredo|adcrēdo|dĭdi, dĭtum, 3||v. a.|to yield one's belief to, to believe unconditionally|accredo|(
GG|adcredo|adcrēdo|dĭdi, ĕre||intr.|int., être disposé à croire, ajouter foi, [avec le datif] / [pris abst]|accredo|adcr-
GJ|adcredo|adcrēdo|ĕre, dĭdĭ, dĭtum [ad + credo]|- intr. avec dat. - ajouter foi à, croire à.
Ge|
FG|
Lw|
YO|
PO|
WW|||adcredo, adcredidi|adcredo, adcreditum
->accretio|adcretio
LS|
GG|adcretio|adcrētĭo|ōnis|f.|subst.|accroissement, augmentation|accretio|adcr-
GJ|adcretio|adcrētĭo|ōnis, f.|accroissement, augmentation.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accumulator|adcumulator
LS|adcumulator|adcŭmŭlātor|ōris|m.||one who heaps up, accumulates|accumulator|(
GG|
GJ|adcumulator|adcŭmŭlātor|ōris, m.|qui accumule.
Ge|
FG|
Lw|
YO|
PO|
WW||||
->accuro|adcuro
LS|adcuro|adcūro|āvi, ātum, 1||v. a.|to take care of, to do a thing with care.|accuro|(
GG|
GJ|adcuro|adcūro|āre, āvi, ātum [ad + curo]|- tr. - apporter ses soins à, préparer avec soin, soigner, s'occuper de.
Ge|
FG|
Lw|
YO|
PO|
WW|||adcuro, adcuravi|adcuro, adcuratum
-|adfectatus
LS|adfectatus|adfectātus|a, um||P. a.||affectatus|(better 
GG|adfectatus|adfectātus|a, um||part.|part. de adfecto.|adfectatus|
GJ|adfectatus|adfectātus|a, um|part. passé de adfecto.
Ge|
FG|adfectatus|adfectatus a um, participe de adfecto.
Lw|
YO|
PO|
WW||||
->afficticius|adficticius
LS|adficticius|adfictĭcĭus|a, um||adj.|added to, annexed|afficticius|(
GG|adficticius|adfictīcĭus|a, um|||de adfictus), adjoint à|adficticius|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
-|adfore
LS|adfore|adfŏre|||||affore|(better 
GG|adfore|adfŏrĕ||||inf. fut. de adsum.|adfore|
GJ|adfore|adfŏre|adfŏrem|v. adsum.
Ge|
FG|adfore|adfore, infinitif futur de adsum.
Lw|adfore|adfore, adforem, adfuī;|see adsum.|||GANCE||||adfore
YO|
PO|
WW||||
->aggarrio|adgarrio
LS|
GG|adgarrio|adgarrĭo|īre||intr.|int., adresser des sornettes à|adgarrio|
GJ|adgarrio|adgarrĭo|īre|- intr. - adresser des sornettes à.
Ge|
FG|
Lw|
YO|
PO|
