|aaroneus
LS|
GG|Aaroneus|Aārŏnĕus|a, um||adj.|d'Aaron|Aaron|-rŏnĕus
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|ababus
LS|Ababus|Ababus|i|m.||False read. in inscrr., written for abavus.|Ababus|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abaddon
LS|Abaddon|Abaddon|indecl.|m.||the name of the angel of Tartarus|Abaddon|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abalterutrum
LS|
GG|
GJ|
Ge|abalterutrum|abalterutrum|Adv.|von einander
FG|
Lw|
YO|
PO|
WW||||
|abambulantes
LS|abambulantes|ăbambŭlantes|||||abambulantes|abscedentes, Paul. ex 
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abarcet
LS|abarcet|abarcet|||||abarcet|: prohibet, Paul. ex Fest.
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abarguo
LS|
GG|
GJ|
Ge|abarguo|abarguo|#NOM ?|überführen
FG|
Lw|
YO|
PO|
WW||||
|abarim
LS|
GG|
GJ|Abarim|Ăbarim|indecl. m.|Vulg. le mont Abarim (en Palestine).
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abarimon
LS|
GG|Abarimon|Abărimōn||||contrée de Scythie|Abarimon|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abartaculamentum
LS|
GG|abartaculamentum|ăbartăcŭlāmentum|i|m.||articulation|abartaculamentum|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abascantus
LS|abascantus|ăbascantus|a, um||adj.|unenvied|abascantus|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abasgi
LS|
GG|Abasgi|Abasgi|ōrum|m.||peuple de la Colchide|Abasgi|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abathon
LS|abathon|abathon|||||abathon|false read. in Vitr. for 
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abbassium
LS|
GG|Abbassium|Abbassium|ĭi|n.||ville de Phrygie|Abbassium|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abbassus
LS|Abbassus|Abbassus|i|f.||Abbassus, a town in Phrygia|Abbassus|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abbia
LS|
GG|Abbia|Abbĭa||f.|subst.|nom de fam. romain|Abbius|-a
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abbius
LS|
GG|Abbius|Abbĭus||m.|subst.|nom de fam. romain|Abbius|Abbĭus
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abbo
LS|
GG|
GJ|
Ge|abbo|abbo||
FG|
Lw|
YO|
PO|
WW||||
|abcise
LS|
GG|abcise|abcīse||||c. abscido, abscise, etc.|abcido, abcise|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abdagaeses
LS|
GG|
GJ|Abdagaeses|Abdagaeses|is, m.|Abdagèse (prince parthe).
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abdageses
LS|
GG|
GJ|Abdageses|Abdageses|is, m.|Abdagèse (prince parthe).
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abdara
LS|
GG|Abdara|Abdara|ae|f.||ville de Bétique|Abdara|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abderita
LS|Abderita|Abdērīta|ae|m.|||Abdera|and 
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abderitae
LS|
GG|Abderitae|Abdērītae|ārum|m.|subst.|Abdéritains|Abderites|-tae
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abditudo
LS|
GG|
GJ|
Ge|abditudo|abditūdo|dinis, f.|
FG|
Lw|
YO|
PO|
WW||||
|abditum
LS|abditum|abdĭtum|i||||abdo|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abdolonymus
LS|Abdolonymus|Abdŏlŏnўmus|i|m.||Sidonian of royal descent, made king of Sidon by Alexander the Great|Abdalonymus|(
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abduce
LS|
GG|abduce|abdūcĕ||||v. abduco|abduce|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abducillus
LS|
GG|
GJ|
Ge|
FG|
Lw|
YO|abducillus|Abducillus=Ābducīllus|1|||i, m.|
PO|
WW||||
|abduxti
LS|
GG|abduxti|abduxti||||abduco|abduxti|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abecedaius
LS|abecedaius|ăbĕcĕdāĭus|ĭi|m.|||abecedarius|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abecedaria
LS|abecedaria|ăbĕcĕdārĭa|ae|f.||elementary instruction|abecedarius|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abelicus
LS|
GG|Abelicus|Abēlĭcus|a, um|||d'Abel|Abelicus|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abellae
LS|
GG|Abellae|Abellae|ārum|f.|subst.|ville de Campanie|Abella|Abellae
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abellinates
LS|Abellinates|Abellīnātes|ium|m.||the inhabitants of Abellinum|Abellinum|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abellinus
LS|
GG|Abellinus|Abellīnus|a, um||adj.|d'Abellinum|Abellinum|-īnus
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abellio
LS|Abellio|Abellĭo|ōnis|m.||the name of a Gallic deity|Abellio|0
GG|
GJ|
Ge|
FG|
Lw|
YO|
PO|
WW||||
|abercet
