|achillea
LS|achillea|ăchillēa|ae|f.||a plant, achilleos|achillea|0
GG|achillea|achillēa|ae|f.|subst.|millefeuille|achillea|achillēa
GJ|achillea|achillēa|ae, f.|millefeuille (plante médicinale, découverte, dit-on, par Achille).
Ge|
FG|
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|Achillea|Achillēa|ae, f.|Achilléa (île de la mer Egée).
Ge|
FG|
Lw|
YO|
PO|
WW||||
|acna
LS|acna|acna|ae|f.||a measure, piece of land, feet square|acnua| or 
GG|
GJ|acna|acna|ae, f.|mesure de superficie [120 pieds carrés].
Ge|
FG|
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|acna|acna|ae, f.|v. acnua.
Ge|
FG|
Lw|
YO|
PO|
WW||||
|acopos
LS|acopos|ăcŏpos|i|m.|||acopos|0
GG|acopos|ăcŏpos||f.||pierre précieuse|acopos|
GJ|acopos|acŏpŏs|i, f.|- 1 - (s.-ent. herba) bois puant (= anagyros, plante médicinale, qui dégage une odeur fétide). - 2 - (s.-ent. gemma) une pierre précieuse.
Ge|acopos|acopos|on|durchsetzter Quarzkristall - oder Spat - eine Linderungssalbe
FG|
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|acopos|acŏpŏs|ŏn (um), adj.|qui délasse, qui calme la douleur.
Ge|
FG|
Lw|
YO|
PO|
WW||||
|acquisitus
LS|
GG|acquisitus|acquīsītus|a, um||part.|part. de acquiro.|acquisitus|
GJ|acquisitus|acquīsītus|a, um|part. passé de acquiro.
Ge|
FG|acquisitus|acquisitus a um, participe de acquiro.
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|acquisitus|acquīsītŭs|ūs, m.|acquisition.
Ge|
FG|
Lw|
YO|
PO|
WW||||
|acron
LS|acron|acrōn|ōnis|m.||the extremity of a thing;, of a member of the body, of the stem of a plant|acro| or 
GG|Acron|Acrōn|ōnis|m.||guerrier tué par Mézence / roi des Céniniens / Hélénius Acron [grammairien, milieu du 4e s. ap. J.-C. ; commentateur de Térence et d'Horace]|2 Acron|
GJ|acron|acrōn|ōnis, m.|- 1 - extrémité (d'un pied de cochon). - 2 - extrémité (de la tige d'une plante).
Ge|acron|acrōn|ontis|
FG|
Lw|
YO|
PO|
WW||||
LS|Acron|Ācron|ōnis|m.||A king of the Caeninenses, who, in the war with the Romans on account of the rape of the Sabines, was slain by Romulus|Acron|0
GG|acron|acrōn|ōnis|m.|subst.|extrémités du porc|acro|acrōn
GJ|Acron|Acrōn|ōnis, m.|Acron.
Ge|
FG|
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|acron|acron||a - roi des Céniniens. b - guerrier tué par Mézence. c - Hélénius Acron [grammairien, milieu du 4e s. ap.J -C ; commentateur de Térence et d'Horace].
Ge|
FG|
Lw|
YO|
PO|
WW||||
|acrus
LS|
GG|acrus|acrus|a, um|||extrême|2 acrus|
GJ|acrus|acrus|a, um (décad.)|c. acer.
Ge|
FG|
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|acrus|acrus|acra, acrum|extrême.
Ge|
FG|
Lw|
YO|
PO|
WW||||
|adjacentia
LS|adjacentia|adjăcentĭa|ium|n.|||adjacentia|0
GG|adjacentia|adjăcentĭa|ae|f.||bonne disposition|adjacentia|
GJ|adjacentia|adjăcentĭa|ae, f.|bonne disposition.
Ge|adiacentia|adiacentia|ae, f.|das Naheliegen, die Bereitschaft des guten Willens
FG|
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|adjacentia|adjăcentĭa|ōrum, n. [adjacens]|les environs.
Ge|
FG|
Lw|
YO|
PO|
WW||||
|adlegatus
LS|adlegatus|adlēgātus|ūs|m.||an instigating to a deceit, fraud|allegatus| (
GG|adlegatus|adlēgātus|a, um||part.|part. de adlegare.|adlegatus|
GJ|adlegatus|adlēgātŭs|ūs, m.|action d'envoyer, ordre.
Ge|
FG|
Lw|
YO|
PO|
WW||||
LS|
GG|
GJ|adlegatus|adlēgātus||a, um, part. de adlegare.
Ge|
FG|
Lw|
YO|
PO|
WW||||
|adpertineo
LS|adpertineo|adpertĭnĕo|ēre||v. n.|to belong to, appertain to;, ad|appertineo| (
GG|adpertineo|adpertĭnĕo|ēre||intr.|int., être attenant|adpertineo|
GJ|adpertineo|adpertĭnĕo|ēre|- intr. - dépendre de.
Ge|
FG|
Lw|
YO|
PO|
WW|||adpertineo, adpertinui|
LS|
GG|
GJ|adpertineo|adpertĭnĕo|ēre|- intr. - être attenant.
Ge|
FG|
Lw|
YO|
PO|
WW||||
|aequalis
LS|aequalis|aequālis|e||adj.|that can be put on an equality with;, equal, like;, absol., subst., gen.|aequalis|0
GG|aequalis|aequālis|e|||de même âge / aequales, personnes du même âge / ou de la même époque, contemporains / de la même durée / égal [à un autre objet, sous le rapport de la forme, de la grandeur, etc.] / aequabilis / aequus|aequalis|
GJ|aequalis|aequālis|e|1 - égal, uni, de niveau. 2 - égal en grandeur, semblable, pareil, proportionné à. 3 - égal en durée, de même âge que, contemporain. 4 - égal à soi-même, constant, invariable, uniforme.
Ge|aequalis|aequālis|e, Adj.|gleich beschaffen, gleich - gleich, eben - andern gleich, entsprechend, konform - gleich alt, gleichen Alters, gleichalterig - Alters- - Jugendgenosse, Alters- - Jugendgenossin, Kamerad, Gespiele, Gespielin - gleichzeitig - der Zeitgenosse - nur eine gleiche Stelle im Staate einnehmend - sich selbst gleich, gleichförmig, gleichmäßig - gleichmäßig - sich gleichbleibend
FG|aequalis|aequalis e (aequus),
Lw|aequalis|aequālis|e||adj.|equal, like, even, on a par, Of the same age, equally old, a contemporary, fellow, Living at the same time, contemporary, coeval, a contemporary, Coeval, coexistent, as old as himself, lasting only as long as, Uniform, level, even, steady, no consistency||||aequalis
YO|aequalis|aequālis=āequālĭs|14|āequāl||e @ aequaliter|
