abactus|ăbactus, a, um : part. passé de abigo.
abalienatus|ăbălĭēnātus, a, um : part. passé de abalieno.
abbreviatus|abbrĕvĭātus, a, um : part. passé de abbrevio. - Hier. raccourci.
abdicatus|abdĭcātus, a, um : part. passé de abdico, āre.
abditus|abdĭtus, a, um : part. passé de abdo. - 1 - éloigné, relégué. - 2 - caché, secret.
abductus|abductus, a, um : part. passé de abduco; éloigné.
abhorrens|ăbhorrens, entis : part. prés. de abhorreo. - 1 - éloigné de, contraire à. - 2 - déplacé, inopportun, inconciliable (avec qqch, alicui rei).
abiens|ăbĭens, ĕuntis : part. prés. de abeo.
ablatus|ablātus, a, um : part. passé de aufero
ablutus|ablūtus, a, um : part. passé de abluo.
abolitus|ăbŏlĭtus, a, um : part. passé de aboleo.
abominatus|ăbōmĭnātus, a, um : part. passé de abominor. - 1 - qui a maudit. - 2 - sens passif maudit, détesté.
abortus|ăbortus, a, um : part. passé de aborior.
abrasus|abrāsus, a, um : (Lebaigue P. 5 et P. 6) part. passé de abrado.
abreptus|abreptus, a, um : part. passé de abripio; entraîné, arraché, emporté.
abrogatus|abrŏgātus, a, um : part. passé de abrogo.
abrosus|abrōsus, a um : part. passé de abrodo.
abruptus|abruptus, a, um : part. passé de abrumpo. - 1 - détaché violemment, séparé; escarpé, abrupt, qui est à pic. - 2 - inaccessible par le caractère, difficile, intraitable, inabordable. - 3 - brisé entièrement, rompu, interrompu, abandonné.
abscissus|abscissus, a, um : part. passé de abscindo. - 1 - arraché, séparé. - 2 - raide, sévère, rigoureux.
abscisus|abscīsus, a, um : 1 - part. passé de abscido. 2 - abrupt, taillé à pic. 3 - [en parl. du style] écourté, tronqué. 4 - fig. raide, intraitable, inaccessible.
absconsus|absconsus, a, um : part. passé de abscondo.
absolutus|absŏlūtus, a, um : 1 - part. passé de absolvo. 2 - part.-adj. a - achevé, parfait. b - complet, qui forme par soi-même un tout.
abstentus|abstentus, a, um : part. passé de abstineo.
abstersus|abstersus, a, um : part. passé de abstergeo.
abstractus|abstractus, a, um : - 1 - part. passé de abstraho. - 2 - part.-adj. abstrait.
absumptus|absumptus, a, um : part. passé de absumo. - 1 - consommé, dépensé, employé. - 2 - détruit, perdu.
abusus|ăbūsus, a, um : part. passé de abutor. - 1 - qui a usé pleinement, qui a abusé. - 2 - sens passif : usé, employé.
acceleratus|accĕlĕrātus, a, um : part. passé de accelero.
accensus|accensus, a, um : I. part. passé de accendo. - a - allumé, brûlé, échauffé. - b - enflammé, excité, animé. -II. part. passé de accenseo -- adjoint, mis au nombre, enrôlé.
acceptatus|acceptātus, a, um : part. passé de accepto.
acceptus|acceptus, a, um, part. passé de accipio. : - a - reçu. - b - appris, qu'on a entendu dire. - c - reçu, accueilli, traité.
accessus|accessus, a, um : part. passé de accedo.
accidens|accidens, entis : part. prés. de accido.
accinctus|accinctus, a, um : 1 - part. passé de accingo. 2 - adj. a - bien ajusté. b - prêt, dispos.
accisus|accīsus, a, um : part. passé de accīdo [ad + caedo].
accitus|accītus, a, um : - a - part. passé de accio. - b - adj. importé, d'origine étrangère.
accommodatus|accommŏdātus, a, um : - part. passé de accommodo. - 1 - ajusté à, attaché à. - 2 - propre à, approprié à, adapté à, fait pour, qui se prête à.
accretus|accrētus, a, um : part. passé de accresco.
accusatus|accūsātus, a, um : part. passé de accuso.
acerbatus|ăcerbātus, a, um : part. passé de acerbo.
acervatus|ăcervātus, a, um : part. passé de acervo.
acquisitus|acquīsītus, a, um : part. passé de acquiro.
actitatus|actitātus, a, um : part. passé de actito; dirigé, conduit (à propos d'une poursuite judiciaire).
actus|actus, a, um : part. passé de ago. - a - conduit, poussé, introduit, poursuivi, agité. - b - fait, écoulé, accompli, terminé (temps).
acuminatus|ăcūmĭnātus, a, um : part. passé de acumino; aiguisé, pointu, en pointe.
acutatus|ăcūtātus, a, um : part. passé de acuto, inusité : aiguisé.
